t010100_1550	Laatokka kun sulaisi	skvr05107850
t010100_1660	Lemminkäisen virsi	skvr01101090,skvr01101650,skvr01100320,skvr01100440,skvr01100510,skvr01105690,skvr01106580,skvr01106580,skvr01100720,skvr01110100,skvr01110160,skvr01107010,skvr01107021,skvr01107020,skvr01107030,skvr01107040,skvr01107050,skvr01107060,skvr01107070,skvr01107080,skvr01107090,skvr01107100,skvr01107110,skvr01107120,skvr01107130,skvr01107140,skvr01107150,skvr01107160,skvr01107170,skvr01107180,skvr01107190,skvr01107200,skvr01107210,skvr01107221,skvr01107220,skvr01107230,skvr01107240,skvr01107250,skvr01107260,skvr01107270,skvr01107281,skvr01107280,skvr01107290,skvr01107300,skvr01107310,skvr01107320,skvr01107330,skvr01107340,skvr01107350,skvr01107360,skvr01107370,skvr01107380,skvr01107390,skvr01107400,skvr01107410,skvr01107420,skvr01107430,skvr01107441,skvr01107442,skvr01107440,skvr01107450,skvr01107460,skvr01107470,skvr01107480,skvr01107490,skvr01107500,skvr01107510,skvr01107520,skvr01107530,skvr01107540,skvr01107550,skvr01107560,skvr01107571,skvr01107570,skvr01107581,skvr01107582,skvr01107580,skvr01107591,skvr01107592,skvr01107590,skvr01107600,skvr01107610,skvr01107620,skvr01107630,skvr01107640,skvr01107651,skvr01107650,skvr01107661,skvr01107662,skvr01107663,skvr01107660,skvr01107670,skvr01107680,skvr01107690,skvr01107710,skvr01107720,skvr01107730,skvr01107740,skvr01107750,skvr01107760,skvr01107770,skvr01107780,skvr01107790,skvr01107800,skvr01107810,skvr01107820,skvr01107830,skvr01107840,skvr01107850,skvr01107860,skvr01107870,skvr01107881,skvr01107880,skvr01107891,skvr01107892,skvr01107890,skvr01107900,skvr01107911,skvr01107912,skvr01107910,skvr01107920,skvr01107931,skvr01107930,skvr01107940,skvr01107950,skvr01107960,skvr01107980,skvr01107991,skvr01107990,skvr01108000,skvr01108011,skvr01108010,skvr01108021,skvr01108022,skvr01108023,skvr01108020,skvr01108030,skvr01108050,skvr01108060,skvr01108070,skvr01108081,skvr01108080,skvr01108090,skvr01108100,skvr01108111,skvr01108110,skvr01108120,skvr01108130,skvr01108140,skvr01108150,skvr01108160,skvr01108170,skvr01108190,skvr01108200,skvr01108210,skvr01108220,skvr01108230,skvr01108241,skvr01108240,skvr01108250,skvr01108261,skvr01108260,skvr01108270,skvr01108280,skvr01108290,skvr01108300,skvr01108310,skvr01108330,skvr01108340,skvr01108350,skvr01108361,skvr01108360,skvr01108370,skvr01108380,skvr01108390,skvr01108400,skvr01108410,skvr01108430,skvr01108440,skvr01108450,skvr01108460,skvr01108470,skvr01108480,skvr01108490,skvr01108500,skvr01108510,skvr01108520,skvr01108530,skvr01108540,skvr01108550,skvr01108560,skvr01108570,skvr01109580,skvr01109640,skvr01113420,skvr01218720,skvr01221660,skvr01221670,skvr01221680,skvr01221690,skvr01221700,skvr01221720,skvr01221730,skvr01208890,skvr01208910,skvr01208990,skvr01209090,skvr01209110,skvr02110180,skvr02111010,skvr02101790,skvr02101801,skvr02101800,skvr02101810,skvr02101820,skvr02101830,skvr02101840,skvr02101850,skvr02101860,skvr02101870,skvr02101880,skvr02101890,skvr02101900,skvr02101910,skvr02101920,skvr02101931,skvr02101932,skvr02101930,skvr02101940,skvr02101950,skvr02101961,skvr02101960,skvr02101970,skvr02101981,skvr02101980,skvr02101990,skvr02102000,skvr02102010,skvr02102020,skvr02102030,skvr02102040,skvr02102050,skvr02102061,skvr02102060,skvr02102070,skvr02102081,skvr02102080,skvr02102090,skvr02102100,skvr02102110,skvr02102120,skvr02102130,skvr02102140,skvr02102150,skvr02102160,skvr02102171,skvr02102172,skvr02102173,skvr02102170,skvr02102180,skvr02102190,skvr02102201,skvr02102202,skvr02102200,skvr02102210,skvr02102220,skvr02102231,skvr02102230,skvr02102240,skvr02102250,skvr02102260,skvr02102460,skvr02103620,skvr02103630,skvr02103860,skvr02103950,skvr02107530,skvr02100911,skvr02100910,skvr02100930,skvr02100940,skvr02109790,skvr03106700,skvr03121970,skvr03122470,skvr09415290,skvr05110770,skvr05101180,skvr06101000,skvr06101010,skvr06100260,skvr06100060,skvr06100080,skvr06149180,skvr07103900,skvr07104340,skvr07104370,skvr07107600,skvr07107610,skvr07107620,skvr07107630,skvr07107640,skvr07107650,skvr07107660,skvr07107670,skvr07107680,skvr07107690,skvr07107700,skvr07107710,skvr07107720,skvr07107730,skvr07107740,skvr07107750,skvr07107760,skvr07107770,skvr07107780,skvr07107790,skvr07107801,skvr07107802,skvr07107800,skvr07107811,skvr07107812,skvr07107813,skvr07107814,skvr07107810,skvr07107820,skvr07107830,skvr07107840,skvr07107850,skvr07107860,skvr07107870,skvr07107880,skvr07107890,skvr07107900,skvr07107910,skvr07107920,skvr07107930,skvr07107940,skvr07107950,skvr07107960,skvr07107970,skvr07107980,skvr07107991,skvr07107990,skvr07108000,skvr07108010,skvr07108020,skvr07108031,skvr07108030,skvr07108040,skvr07108050,skvr07108061,skvr07108062,skvr07108063,skvr07108064,skvr07108065,skvr07108060,skvr07108070,skvr07108080,skvr07108090,skvr07108101,skvr07108102,skvr07108100,skvr07108110,skvr07108120,skvr07108130,skvr07108140,skvr07108150,skvr07108160,skvr07108170,skvr07108180,skvr07108190,skvr07108200,skvr07108211,skvr07108210,skvr07108220,skvr07108230,skvr07108240,skvr07108250,skvr07108260,skvr07108270,skvr07108280,skvr07108290,skvr07108300,skvr07108310,skvr07108320,skvr07108330,skvr07108340,skvr07108350,skvr07108361,skvr07108360,skvr07108370,skvr07108380,skvr07108390,skvr07108400,skvr07108410,skvr07108910,skvr07108920,skvr07108930,skvr07108950,skvr07113080,skvr07113090,skvr07113100,skvr07113111,skvr07113112,skvr07113110,skvr07118190,skvr07127100,skvr07211100,skvr07215500,skvr07220280,skvr07226500,skvr07231590,skvr07248530,skvr07248680,skvr07248890,skvr12101020,skvr12101030,skvr12101040,skvr12101050,skvr12101060,skvr12101070,skvr12101080,skvr12103310,skvr12100690,skvr12100810,skvr13013471,skvr13013472,skvr13013470,skvr13014100,skvr13014110,skvr13014120,skvr13014130,skvr13000080,skvr13009770
t010100_1670	Lensi lintu linnan päälle	skvr04103790,skvr04132570
t010100_1680	Lesken neidot kuuksi ja tähdiksi	skvr04100380
t010100_1690	Leskimies ja nuorimies kosijoina	skvr04110500,skvr04103770,skvr04100050,skvr04126130,skvr05106440,skvr13008450
t010100_1700	Likainen neito	skvr04101230,skvr04100670,skvr04119280,skvr04133850,skvr04134390,skvr04134520,skvr04134670,skvr04137740,skvr04137750,skvr04138150,skvr04141750,skvr05102260,skvr05102500,skvr06101760,skvr06101770,skvr06101780,skvr06101790,skvr06101800,skvr06101810,skvr06101820,skvr06101990,skvr06105320,skvr06106690,skvr06107550,skvr06107580,skvr07104420,skvr07104430,skvr07104440,skvr07104450,skvr07104460,skvr07104470,skvr07104500,skvr07104520,skvr07104530,skvr07104540,skvr07104560,skvr07104570,skvr07104600,skvr07104611,skvr07104610,skvr07104630,skvr07104640,skvr07104650,skvr07104660,skvr07104670,skvr07104680,skvr07104690,skvr07104700,skvr07104710,skvr07104730,skvr07104740,skvr07104750,skvr07104760,skvr07104770,skvr07104850,skvr07104900,skvr13014550,skvr13001730
t010100_1710	Lintu Jeesuksen lentämä	skvr12181240
t010100_1720	Lintu laskeusi Lapista	skvr12181250
t010100_1730	Lintujen käräjät	skvr03122010,skvr03122020,skvr04114330,skvr05111700,skvr06104550,skvr06104560,skvr06104570,skvr06104580,skvr06104590,skvr06148430,skvr07110600,skvr07114010,skvr12101410,skvr14100440
t010100_1740	Lintunen lehossa lauloi	skvr04125300,skvr04128560,skvr04135770,skvr04140080,skvr05110290,skvr05112290,skvr05112300,skvr05103740,skvr05104350,skvr05105390,skvr05109150,skvr05212550,skvr05212570,skvr05212580,skvr05203040,skvr05204460,skvr13013150,skvr13005310,skvr13006230,skvr13105280,skvr13105290,skvr13105300,skvr13105310,skvr13105320,skvr13105330
t010100_1750	Lintunen lehossa lauloi, kelle annan tyttäreni	skvr05113450,skvr05113460
