t010100_1550	Laatokka kun sulaisi	skvr05107850
t010100_1760	Lintuparvi ja poika	skvr03111060,skvr03111340,skvr03101370,skvr03117630,skvr03121720,skvr03122240,skvr03124150,skvr03126010,skvr03126290,skvr03127970,skvr03128200,skvr03128420,skvr03132040,skvr04102760,skvr15110640,skvr15112980
t010100_1770	Lohikäärme ja neito	skvr03110340,skvr03110480,skvr03111080,skvr03101650,skvr03106570,skvr03106860,skvr03106910,skvr03112970,skvr03115820,skvr03118610,skvr03121410,skvr03121870,skvr03121880,skvr03122450,skvr03127770,skvr03138680,skvr03141740,skvr04110610,skvr04114440,skvr04102500,skvr04104790,skvr04100610,skvr04116650,skvr04117950,skvr04120000,skvr04122110,skvr04122480,skvr04122520,skvr04124780,skvr04137670,skvr04140480,skvr04140730,skvr04141400,skvr04141610,skvr05101030,skvr05104610,skvr05104621,skvr05104620,skvr05104630,skvr05104640,skvr05104650,skvr05104660,skvr05104670,skvr05104680,skvr05104690,skvr05104700,skvr05104710,skvr05104720,skvr05104740,skvr05104750,skvr05104760,skvr05104770,skvr05104780,skvr05104790,skvr05104800,skvr05104810,skvr05104820,skvr05104830,skvr05104840,skvr05104850,skvr05104860,skvr05104870,skvr05104880,skvr05104900,skvr05104910,skvr05104920,skvr05104930,skvr05104940,skvr05104950,skvr05104960,skvr05104970,skvr05109010,skvr05220730,skvr05300891,skvr05300890,skvr05300900,skvr05300910,skvr05300921,skvr05300922,skvr05300920,skvr05300930,skvr07100680,skvr07100820,skvr07100840,skvr07100850,skvr07100860,skvr07112920,skvr07112930,skvr10100460,skvr13016230,skvr13021850,skvr13024000,skvr13003440,skvr13006270,skvr13006280,skvr13006290,skvr13006300,skvr13006310,skvr13006320,skvr13006330,skvr13006340,skvr13006350,skvr13006360,skvr13006370,skvr13006380,skvr13006390,skvr13006400,skvr13006410,skvr13006420,skvr13006430,skvr13006440,skvr13006450,skvr13006460,skvr13006470,skvr13006480,skvr13006490,skvr13006500,skvr13006510,skvr13006520,skvr13006530,skvr13006540,skvr13006550,skvr13006560,skvr13006570,skvr13006580,skvr13006590,skvr13007070,skvr13008550,skvr13045930,skvr13104050,skvr13104060,skvr13104070,skvr13104080,skvr13104090,skvr13104100,skvr14121190,skvr15108180,skvr15100830
t010100_1780	Luikku lehmän luusta*M	skvr05112800,skvr05101390,skvr05102320,skvr06103600,skvr06103820,skvr13015990,skvr13004350,skvr13004420,skvr13004430,skvr13004440,skvr13004450,skvr13004470,skvr13004490,skvr13006550,skvr13124820
t010100_1790	Lunastettava neito	skvr01110840,skvr01110850,skvr01110860,skvr01110870,skvr01110880,skvr01110890,skvr01110900,skvr01110910,skvr01110920,skvr01110930,skvr01110940,skvr01110950,skvr01111440,skvr01111460,skvr01111470,skvr01111481,skvr01111490,skvr01111510,skvr01111530,skvr01111540,skvr01111550,skvr01111570,skvr01112000,skvr01112010,skvr01112080,skvr01112100,skvr01221870,skvr01221880,skvr01221890,skvr01221900,skvr02111020,skvr02111030,skvr02111040,skvr02103000,skvr02103010,skvr02103020,skvr02103030,skvr02103040,skvr02103050,skvr02103070,skvr02103080,skvr02103091,skvr02103090,skvr02103110,skvr02103120,skvr02103530,skvr02100450,skvr03111920,skvr03111930,skvr03111940,skvr03111950,skvr03111960,skvr03111970,skvr03111980,skvr03103370,skvr03103380,skvr03103390,skvr03103400,skvr03104590,skvr03106320,skvr03106330,skvr03106340,skvr03106350,skvr03106360,skvr03106370,skvr03106390,skvr03107180,skvr03107860,skvr03113730,skvr03113740,skvr03118330,skvr03118890,skvr03119610,skvr03119660,skvr03119840,skvr03119850,skvr03119880,skvr03120010,skvr03120080,skvr03120090,skvr03120130,skvr03120680,skvr03121240,skvr03122340,skvr03123300,skvr03123500,skvr03125540,skvr03125790,skvr03126370,skvr03126740,skvr03127010,skvr03127790,skvr03127800,skvr03128060,skvr03128940,skvr03129410,skvr03129850,skvr03133160,skvr03134450,skvr03134460,skvr03135190,skvr03135890,skvr03136810,skvr03138890,skvr03140340,skvr03141700,skvr04113560,skvr04113910,skvr04114130,skvr04101570,skvr04102590,skvr04103590,skvr04105860,skvr04106660,skvr04108540,skvr04109330,skvr04109340,skvr04116090,skvr04117110,skvr04117630,skvr04118650,skvr04118780,skvr04118790,skvr04118800,skvr04118810,skvr04118820,skvr04119030,skvr04123790,skvr04125100,skvr04127150,skvr04127200,skvr04127420,skvr04127540,skvr04127630,skvr04128030,skvr04128510,skvr04128530,skvr04129030,skvr04129650,skvr04131510,skvr04131610,skvr04133470,skvr04134730,skvr04135130,skvr04137540,skvr04138090,skvr04138770,skvr04138780,skvr04140030,skvr04140130,skvr04140210,skvr04140340,skvr04140690,skvr04140810,skvr04141620,skvr04146300,skvr04147690,skvr09100280,skvr09100290,skvr09100300,skvr09100310,skvr09100320,skvr09100330,skvr09100340,skvr09100350,skvr09100360,skvr09100370,skvr09100380,skvr09100390,skvr09200140,skvr09200150,skvr09200160,skvr09200170,skvr09310480,skvr05110650,skvr05110970,skvr05110980,skvr05104980,skvr05104990,skvr05105000,skvr05105010,skvr05105020,skvr05105030,skvr05105040,skvr05105050,skvr05105060,skvr05105070,skvr05105080,skvr05105090,skvr05105100,skvr05105110,skvr05105120,skvr05105130,skvr05105140,skvr05105150,skvr05106130,skvr05106780,skvr05106810,skvr05106820,skvr05106830,skvr05106840,skvr05106850,skvr05106870,skvr05106890,skvr05106900,skvr05106910,skvr05106920,skvr05106930,skvr05106950,skvr05106970,skvr05106990,skvr05107000,skvr05107010,skvr05301161,skvr05301160,skvr05301181,skvr05301180,skvr05301191,skvr05301190,skvr05302140,skvr05302151,skvr05302150,skvr05302160,skvr05302171,skvr05302170,skvr05302181,skvr05302180,skvr06102180,skvr06102190,skvr06102200,skvr06102210,skvr06102220,skvr06102230,skvr06102240,skvr06102250,skvr06102260,skvr06102270,skvr06102280,skvr06102290,skvr06102300,skvr06102310,skvr06102320,skvr06102330,skvr06102340,skvr06102350,skvr06102360,skvr06164310,skvr06164320,skvr06164330,skvr06164340,skvr06164350,skvr06164360,skvr06164370,skvr06164380,skvr06164390,skvr06164400,skvr07111200,skvr07111210,skvr07111220,skvr07111230,skvr07111240,skvr07111250,skvr07111260,skvr07111270,skvr07111280,skvr07111290,skvr07111300,skvr07111311,skvr07111310,skvr07111320,skvr07111330,skvr07111340,skvr07111350,skvr07111360,skvr07111370,skvr07111380,skvr07111390,skvr07111400,skvr07111410,skvr07111420,skvr07111430,skvr07111440,skvr07111450,skvr07111460,skvr07111470,skvr07111480,skvr07111490,skvr07111500,skvr07111510,skvr07111520,skvr07111530,skvr07111540,skvr07111550,skvr07111560,skvr07111570,skvr07111580,skvr07111590,skvr07111600,skvr07111610,skvr07111620,skvr07111630,skvr07111640,skvr07111650,skvr07111660,skvr07111670,skvr07111680,skvr07111690,skvr07111700,skvr07111710,skvr07111720,skvr07111730,skvr07111740,skvr07112750,skvr07112830,skvr07112840,skvr07113080,skvr07113100,skvr07204610,skvr07204610,skvr08110300,skvr08110310,skvr08110320,skvr08110330,skvr08110340,skvr08110350,skvr08110360,skvr08110370,skvr08110380,skvr08110390,skvr08110400,skvr08110410,skvr08110420,skvr08110430,skvr08110560,skvr10121231,skvr10100470,skvr10100480,skvr10100490,skvr10100500,skvr10100510,skvr10100521,skvr10100520,skvr10100530,skvr10100540,skvr10100550,skvr10100560,skvr10100570,skvr10100580,skvr10100590,skvr10100600,skvr10100810,skvr10100820,skvr11100030,skvr12101420,skvr12101430,skvr12101440,skvr12101450,skvr12101460,skvr12101470,skvr12101480,skvr12101550,skvr13012100,skvr13012130,skvr13013630,skvr13013640,skvr13013650,skvr13013660,skvr13013670,skvr13013680,skvr13013690,skvr13013700,skvr13013710,skvr13013720,skvr13013730,skvr13013751,skvr13013750,skvr13013760,skvr13013770,skvr13013790,skvr13013800,skvr13013810,skvr13013820,skvr13015130,skvr13006600,skvr13006610,skvr13006620,skvr13006630,skvr13006640,skvr13006650,skvr13006660,skvr13006670,skvr13006680,skvr13006690,skvr13006700,skvr13006710,skvr13006720,skvr13006730,skvr13006740,skvr13006750,skvr13006760,skvr13008530,skvr13008540,skvr13008550,skvr13008560,skvr13008570,skvr13008610,skvr13008630,skvr13008640,skvr15110060,skvr15110140,skvr15110170,skvr15110190,skvr15110210,skvr15110250,skvr15100890
t010100_1800	Luoja ja Maaria pakenevat Juutaan joukkoa	skvr03122980
t010100_1810	Luojan laivaretki	skvr01103391,skvr01103390,skvr07105700,skvr12172930
t010100_1830	Luutaan lehosta	skvr03110870,skvr03103050,skvr03103060,skvr03105570,skvr03118650,skvr03119520,skvr03119690,skvr03120570,skvr03120860,skvr03120870,skvr03121020,skvr03123150,skvr03124070,skvr03128110,skvr03128710,skvr03129470,skvr03132570,skvr03133310,skvr03142480,skvr04114100,skvr04114130,skvr04101500,skvr04101520,skvr04100260,skvr04104690,skvr04100540,skvr04106660,skvr04106750,skvr04107340,skvr04100830,skvr04109140,skvr04109150,skvr04109160,skvr04100950,skvr04116090,skvr04117050,skvr04117110,skvr04118610,skvr04118620,skvr04118630,skvr04118640,skvr04118650,skvr04118660,skvr04118890,skvr04120180,skvr04124950,skvr04125100,skvr04125300,skvr04128560,skvr04131610,skvr04131860,skvr04132140,skvr04132300,skvr04132570,skvr04133910,skvr04137510,skvr04137520,skvr04137530,skvr04139910,skvr04140080,skvr04141530,skvr04141540,skvr05106960,skvr15110220,skvr15110270,skvr15107220,skvr15107230,skvr15107240,skvr15107250,skvr15108080
t010100_1840	Lähti poikani sotah	skvr07114520
t010100_1850	Läksi poika kuuvalolla neittä noutamaan	skvr05112500,skvr05102540,skvr05106210,skvr05222950,skvr13010020,skvr13012690
t010100_1860	Läksi suohon sortumaan	skvr13003270
t010100_1870	Läksin linnaan likaksi	skvr03111070,skvr03111350,skvr04113040,skvr04102940,skvr04105160,skvr04107560,skvr05110100,skvr05112050,skvr05112390,skvr05112400,skvr05112410,skvr05112420,skvr05112430,skvr05112440,skvr05112450,skvr05112460,skvr05112470,skvr05112480,skvr05112490,skvr05101340,skvr05101480,skvr05101530,skvr05101540,skvr05101590,skvr05101610,skvr05210080,skvr05222490,skvr05222690,skvr05300970,skvr05300980,skvr07111750,skvr13011140,skvr13011150,skvr13012840,skvr13012971,skvr13012970,skvr13014550,skvr13014910,skvr13023010,skvr13003320,skvr13003370,skvr13006140,skvr13006150,skvr13006160,skvr13000980,skvr13103750,skvr13104020,skvr13104030,skvr13104040,skvr13105150,skvr13125080,skvr15111220
t010100_1880	Läksin metsään makaamaan	skvr03140730
t010100_1890	Läksin nuotalle kotonta	skvr13003730
t010100_1900	Läksin piennä paimeneen	skvr01102270,skvr02102740,skvr04117140,skvr04117780,skvr05101200,skvr05112800,skvr05113050,skvr05102320,skvr05102730,skvr05103030,skvr05103090,skvr05100730,skvr05100750,skvr05100760,skvr05108140,skvr05108150,skvr05108160,skvr05108170,skvr05108180,skvr05108200,skvr05108220,skvr05108240,skvr05108500,skvr05100910,skvr05100920,skvr05220880,skvr05220890,skvr05207480,skvr05209000,skvr05310800,skvr05310900,skvr05301460,skvr05301470,skvr05301491,skvr05301490,skvr05301500,skvr06101140,skvr06101160,skvr06101670,skvr06102020,skvr06102960,skvr06103530,skvr06103540,skvr06103550,skvr06103560,skvr06103570,skvr06103580,skvr06103590,skvr06103600,skvr06103610,skvr06103620,skvr06103630,skvr06103640,skvr06105390,skvr06108590,skvr06108860,skvr06164570,skvr07109300,skvr07112960,skvr07112970,skvr07112980,skvr07112990,skvr07113010,skvr07113020,skvr07132250,skvr07132260,skvr07132270,skvr07132280,skvr07132291,skvr07132290,skvr12101290,skvr12101550,skvr12101590,skvr12101610,skvr12101620,skvr12101640,skvr12101660,skvr12101670,skvr12101680,skvr12101690,skvr12101710,skvr12101720,skvr12101730,skvr12101740,skvr12101750,skvr12101760,skvr12101770,skvr12101780,skvr13011620,skvr13011990,skvr13012110,skvr13012310,skvr13012850,skvr13012910,skvr13013060,skvr13013090,skvr13013100,skvr13013120,skvr13014330,skvr13015210,skvr13001530,skvr13001540,skvr13001570,skvr13015990,skvr13001600,skvr13003160,skvr13004120,skvr13004190,skvr13004210,skvr13004360,skvr13004370,skvr13004380,skvr13004400,skvr13004410,skvr13004440,skvr13004450,skvr13004460,skvr13004480,skvr13004690,skvr13005600,skvr13005610,skvr13006550,skvr13000790,skvr13008020,skvr13008030,skvr13000800,skvr13029280,skvr13077130,skvr13077220,skvr13077230,skvr13077240,skvr13103740,skvr13105351
t010100_1910	Läksin rannalle merelle, ei ollut meressä vettä	skvr05113110,skvr05113140,skvr05220350,skvr05222670
t010100_1920	Läksin suolle sotkuilleni, kolkutin kodan ovea	skvr01110430,skvr02102740,skvr02103590,skvr03110880,skvr03110890,skvr03111050,skvr03100160,skvr03103010,skvr03103020,skvr03103030,skvr03108790,skvr03115750,skvr03123450,skvr04103750,skvr04107530,skvr04108440,skvr04117230,skvr04129310,skvr04138370,skvr05110120,skvr05113260,skvr05100280,skvr05100311,skvr05100310,skvr05100320,skvr05100330,skvr05103450,skvr05103470,skvr05103480,skvr05103490,skvr05100340,skvr05100350,skvr05100360,skvr05100370,skvr05100400,skvr05105650,skvr05105660,skvr05105670,skvr05105680,skvr05105690,skvr05107070,skvr05107090,skvr05109910,skvr05220720,skvr05222460,skvr06101910,skvr06102440,skvr06102450,skvr06102480,skvr06102490,skvr06102500,skvr06102840,skvr06103260,skvr06103270,skvr06103290,skvr06103880,skvr06164740,skvr07113650,skvr13011600,skvr13011611,skvr13011610,skvr13013020,skvr13013900,skvr13004910,skvr13004930,skvr13000700,skvr13000720,skvr13000770,skvr13008080,skvr13087630,skvr13124100,skvr15110270
t010100_1930	Löi kahta kämmentänsä	skvr03112010,skvr03112250,skvr03112270,skvr03112290,skvr03112310,skvr05100130,skvr05100200,skvr05100210,skvr05100220,skvr05100240,skvr05102590,skvr05100250,skvr05102650,skvr05106860,skvr05109090,skvr05109610
t010100_1940	Löysin karjan kankahalta, panin paimenen papiksi	skvr05110460,skvr05110480,skvr05110490,skvr05110500,skvr05110510,skvr05110530,skvr05110540,skvr05110570,skvr05110580,skvr05110600,skvr05110610,skvr05111350,skvr05113110,skvr05113140,skvr05113200,skvr05220330,skvr05220350,skvr05220410,skvr05222670,skvr05301371,skvr05301370,skvr05301380,skvr05301391,skvr05301390,skvr05301400,skvr05301410,skvr05301420,skvr07112780,skvr10100910,skvr10100950,skvr13012260,skvr13013640,skvr13013740,skvr13013780,skvr13013790,skvr13013920,skvr13017740,skvr13029020
t010100_1950	Löysin neitosen lehosta	skvr04111370,skvr05111900,skvr05113260,skvr05102500,skvr06101810,skvr06102530,skvr06102540,skvr06103050,skvr07120120,skvr13015190,skvr13007410,skvr13030380,skvr14100590,skvr14100600
t010100_1960	Löysin ruoskan Ruotsin maalta	skvr03104160,skvr03104930,skvr03107920,skvr03107930,skvr03116070,skvr03126750,skvr04110670,skvr04102640,skvr04108220,skvr04100090,skvr04119530,skvr04141770
t010100_1970	Löysin verkaa palasen	skvr04120520,skvr04140570,skvr05105230,skvr05108100,skvr05210790
t010200_0380	Laiska Jaakko	skvr10100450
t010300_1020	Laakalan lavia Maikko	skvr04116340
t010300_1030	Laatu poika Paussun palvelijana	skvr05222660
t010300_1040	Lappalainen, laiha poika	skvr07114510
t010300_1050	Lappeenrannan sällin laulu	skvr15104150
t010300_1060	Larin akka	skvr13014780,skvr13014790
t010300_1065	Laulaja Öskä-Löskä	skvr05303810
t010300_1070	Laulajaisen virsi Taipaleessa	skvr13081990
t010300_1080	Laulakaat lanasta lapset	skvr13081730
t010300_1090	Laulu laulettu Lapissa	skvr15102090
t010300_1100	Lauluja tappelusta	skvr13014800,skvr13030410,skvr13081820,skvr13081870
t010300_1110	Lemmennostaja ämmä	skvr13014810
t010300_1120	Litmasen emäntä havaitsee murhan tapahtuneen	skvr13082170
t010300_1130	Liukas Liippu	skvr04108010
t010300_1140	Lokka, Loukkula, Mäkkylä, Säätinä: kylien moitintaa	skvr03134750
t010300_1150	Luiskenitsan lutku Anni	skvr04125940
t010300_1160	Lähin olkia pakohon	skvr12102260
t010300_1170	Läksi Katrina kaupalle	skvr01120520
t010300_1180	Läksi kummat kulkemaan sepän akasta	skvr05101360,skvr13015020,skvr13015030
t010300_1200	Löysin hirven heinikosta	skvr13003730
t020100_0840	La laulan ison omena	skvr04101650,skvr04100250,skvr04103820,skvr04123760,skvr04123850,skvr04131450,skvr04132040
t020100_0850	La laulan, linnan tyttö	skvr03139120,skvr04110440,skvr04113050,skvr04104490,skvr04104640,skvr04108280,skvr04108300,skvr04108980,skvr04109420,skvr04109930,skvr04117020,skvr04117070,skvr04132150,skvr04135360,skvr04135380,skvr04137880,skvr04141090,skvr13023690
t020100_0860	La mie kaljun katusillain	skvr04121200,skvr04131390
t020100_0870	La mie laulan lammin sorsa	skvr05201250,skvr05201380,skvr05200150,skvr05221780,skvr05205090,skvr05209610,skvr05302540,skvr05302700,skvr12103280,skvr13015410,skvr13015430,skvr13015540,skvr15111860
t020100_0880	La mie puhas puhelen - meren hiekka, mansikka	skvr05202750,skvr13001300,skvr13018200,skvr13018210,skvr13018220,skvr13018510,skvr13025580,skvr13124680
t020100_0890	La mie vieretän vilulla	skvr03110540,skvr03110570,skvr03110940,skvr03102800,skvr03115180,skvr03122410,skvr03127200,skvr03129470,skvr03129700,skvr03129750,skvr03135510,skvr03135520,skvr03138080,skvr03138100,skvr04110030,skvr04106140,skvr04109140,skvr04121780,skvr04122190,skvr04122790,skvr04131710,skvr04132150,skvr04146280,skvr04146520,skvr15111950
t020100_0900	Laiska on luotu laulamaan	skvr03103830,skvr03114270,skvr04110390,skvr04112930,skvr04114430,skvr04104250,skvr04116580,skvr04122160,skvr04122190,skvr04122210,skvr04122400,skvr04124940,skvr04125280,skvr04130880,skvr04131690,skvr05201060,skvr05221950,skvr05302621,skvr05302620,skvr05302890,skvr05302940,skvr05303221,skvr05303220,skvr05309601,skvr05309600,skvr12181700,skvr12181710,skvr13016590,skvr13016880,skvr13018060,skvr13018070,skvr13018080,skvr13018090,skvr13018890,skvr15113420
t020100_0910	Laki lauloa lupasi	skvr01112990,skvr01120640,skvr12103250,skvr12178620,skvr13017750
t020100_0920	Lammas (käpy) käski laulamaan	skvr01113300,skvr07115360
t020100_0930	Laula, laula, kieli keito	skvr01106800,skvr01100780,skvr01108490,skvr01112730,skvr01112910,skvr01113160,skvr01113170,skvr01113190,skvr01113211,skvr01113210,skvr01113240,skvr01113320,skvr01113340,skvr01113410,skvr01113430,skvr01113440,skvr01114050,skvr01208710,skvr02104200,skvr03141660,skvr04115120,skvr04121500,skvr05201000,skvr05201010,skvr05201220,skvr05201230,skvr05203270,skvr05206430,skvr05200930,skvr05200980,skvr07106160,skvr07115180,skvr07115430,skvr07115620,skvr07115640,skvr07115650,skvr07115660,skvr07115670,skvr07115680,skvr07115690,skvr07115701,skvr07115700,skvr07115770,skvr07115780,skvr07116640,skvr07117100,skvr07118740,skvr07119840,skvr07120430,skvr07120440,skvr10101540,skvr12103430,skvr13016880,skvr13016890,skvr13016900,skvr13016910,skvr15104270
t020100_0940	Laula lirppu, laula larppu	skvr05200950,skvr13016750
t020100_0950	Laulaisin, kun ei tuoja toruisi	skvr13016640
t020100_0960	Laulaisin minä kotona	skvr01112810,skvr01113220,skvr01113370,skvr01118060,skvr02103920,skvr04101560,skvr04117800,skvr04123450,skvr04129250,skvr04131520,skvr04132060,skvr04133030,skvr04134360,skvr04134380,skvr04135070,skvr04135400,skvr04136400,skvr05201040,skvr05201051,skvr05201050,skvr05201070,skvr05201300,skvr05221130,skvr05202870,skvr05202880,skvr05200300,skvr05203410,skvr05208450,skvr05302460,skvr05303570,skvr05303590,skvr06103180,skvr06103480,skvr06105160,skvr06105170,skvr06105180,skvr06105190,skvr06105420,skvr07115490,skvr07115500,skvr07115510,skvr07115520,skvr07115530,skvr07115540,skvr07115550,skvr07115560,skvr07115570,skvr07116240,skvr07120020,skvr12103300,skvr12103580,skvr12103600,skvr13015400,skvr13016240,skvr13016250,skvr13016260,skvr13016270,skvr13016830,skvr13018270,skvr15101030,skvr15100250
t020100_0970	Laulaisin omilla mailla	skvr03115240,skvr03133950,skvr04110490,skvr04101200,skvr04114460,skvr04106200,skvr04117130,skvr04121840,skvr04133370,skvr05202800,skvr05302440,skvr13016700,skvr13016840,skvr13016850,skvr13016930,skvr13033690
t020100_0980	Laulaisinpa, taitaisinpa	skvr03114990,skvr04117530
t020100_0990	Laulaja tyttö joutuu juomarille	skvr03110250,skvr03101200,skvr03102900,skvr03115410,skvr03121150,skvr03122230,skvr03126840,skvr03128280,skvr03128640,skvr03132240,skvr03132970,skvr03135720,skvr03139660,skvr03140040,skvr04122630,skvr05201130,skvr05201140,skvr05201150,skvr05201160,skvr05201171,skvr05201170,skvr05201180,skvr05201190,skvr05201200,skvr05201210,skvr05214100,skvr05206880,skvr05209740,skvr05302951,skvr05302950,skvr13017671,skvr13017670,skvr13017680,skvr13017690,skvr13109130,skvr15112500
t020100_1000	Laulajan alkusanoja	skvr01100100,skvr01102000,skvr01102730,skvr01108490,skvr01112730,skvr01112740,skvr01112750,skvr01112760,skvr01112770,skvr01112780,skvr01112791,skvr01112800,skvr01112811,skvr01112812,skvr01112810,skvr01112820,skvr01112830,skvr01112840,skvr01112850,skvr01112860,skvr01112870,skvr01112880,skvr01112890,skvr01112900,skvr01112920,skvr01112930,skvr01112940,skvr01112950,skvr01112990,skvr01113000,skvr01113010,skvr01113040,skvr01113070,skvr01113080,skvr01113100,skvr01113110,skvr01113130,skvr01113140,skvr01113190,skvr01113360,skvr01113381,skvr01113380,skvr01113410,skvr01119980,skvr01211110,skvr01211230,skvr01211340,skvr01212330,skvr01201600,skvr01217160,skvr01218560,skvr01202040,skvr01203120,skvr01204980,skvr01205160,skvr01206330,skvr01200730,skvr01207860,skvr02102180,skvr02104110,skvr02104120,skvr02104130,skvr02109821,skvr03110090,skvr03110230,skvr03110240,skvr03110320,skvr03101030,skvr03101100,skvr03114270,skvr03126870,skvr03136040,skvr04101030,skvr04110430,skvr04110460,skvr04110490,skvr04101040,skvr04112260,skvr04100120,skvr04101320,skvr04113380,skvr04114170,skvr04100160,skvr04102480,skvr04102670,skvr04103020,skvr04104020,skvr04104090,skvr04104540,skvr04104560,skvr04104960,skvr04100560,skvr04100590,skvr04106110,skvr04106840,skvr04108050,skvr04108060,skvr04108720,skvr04108750,skvr04108940,skvr04109150,skvr04109310,skvr04109860,skvr04109990,skvr04115310,skvr04115330,skvr04115660,skvr04115670,skvr04117510,skvr04117550,skvr04121610,skvr04122150,skvr04122380,skvr04123460,skvr04123680,skvr04124560,skvr04131070,skvr04131360,skvr04132860,skvr04132880,skvr04132980,skvr04132990,skvr04133000,skvr04133020,skvr04133030,skvr04133050,skvr04133110,skvr04133740,skvr04133880,skvr04133940,skvr04134450,skvr04134510,skvr04134540,skvr04134570,skvr04135300,skvr04135460,skvr04135470,skvr04137940,skvr04138000,skvr04138360,skvr04138420,skvr04139710,skvr04141080,skvr04141940,skvr04145870,skvr05113260,skvr05113290,skvr05201000,skvr05201010,skvr05201240,skvr05201280,skvr05201310,skvr05201350,skvr05201370,skvr05201520,skvr05201550,skvr05201670,skvr05200160,skvr05201850,skvr05201860,skvr05201870,skvr05201880,skvr05201890,skvr05201900,skvr05201970,skvr05220580,skvr05223890,skvr05223900,skvr05223960,skvr05202710,skvr05202800,skvr05200020,skvr05205090,skvr05205970,skvr05310420,skvr05302421,skvr05302420,skvr05302490,skvr05302500,skvr05302880,skvr05303450,skvr05303460,skvr06105050,skvr06105080,skvr06105160,skvr06107590,skvr06148370,skvr07114810,skvr07115090,skvr07115100,skvr07115550,skvr07115760,skvr07116430,skvr07116620,skvr07116620,skvr07116730,skvr07117770,skvr07119170,skvr07119180,skvr07119190,skvr07119200,skvr07217240,skvr11116790,skvr12103200,skvr12103210,skvr12103220,skvr12103250,skvr12103300,skvr12103340,skvr12103350,skvr12103371,skvr12103370,skvr12103960,skvr13010870,skvr13015370,skvr13015380,skvr13015390,skvr13015460,skvr13016320,skvr13016540,skvr13017340,skvr13018010,skvr13018310,skvr13018510,skvr13018590,skvr13018860,skvr13005370,skvr13033690,skvr13037680,skvr13049170,skvr13071130,skvr13077030,skvr13081250,skvr13081270,skvr13081290,skvr13082690,skvr13090480,skvr13105700,skvr15101000,skvr15101010,skvr15110610,skvr15111470,skvr15112070,skvr15104140,skvr15100980,skvr15100990
t020100_1010	Laulajan kerskauksia	skvr01112750,skvr01112760,skvr01112770,skvr01113120,skvr01113310,skvr01218560,skvr03116090,skvr03127530,skvr04103320,skvr04122180,skvr05201560,skvr05202810,skvr05310550,skvr05302480,skvr05303160,skvr05303710,skvr06105180,skvr07101881,skvr07115750,skvr07116130,skvr07116260,skvr10101530,skvr13017940,skvr13105800,skvr13106060,skvr15111900,skvr15113190,skvr15108070
t020100_1020	Laulajan kolme kieltä	skvr12103200
t020100_1030	Laulajan lopetussanoja	skvr01102000,skvr01111050,skvr01112740,skvr01112750,skvr01113080,skvr01113190,skvr01113410,skvr01113470,skvr01113481,skvr01113480,skvr01113540,skvr01115390,skvr01115860,skvr01116930,skvr01117190,skvr01117200,skvr01117520,skvr01211080,skvr01213970,skvr01222520,skvr01222620,skvr03101730,skvr03103500,skvr03100480,skvr03105100,skvr03106290,skvr03107210,skvr03108360,skvr03108520,skvr03112730,skvr03114120,skvr03114290,skvr03114560,skvr03114930,skvr03115440,skvr03115470,skvr03115620,skvr03115780,skvr03115920,skvr03126900,skvr03127990,skvr03133050,skvr03135130,skvr03135780,skvr03138120,skvr03139220,skvr03141331,skvr04110700,skvr04110850,skvr04114170,skvr04114630,skvr04114640,skvr04104260,skvr04108230,skvr04108280,skvr04108970,skvr04109000,skvr04109030,skvr04117240,skvr04120110,skvr04120400,skvr04121870,skvr04122170,skvr04122190,skvr04123390,skvr04124580,skvr04125380,skvr04125480,skvr04125740,skvr04126110,skvr04126230,skvr04127020,skvr04128410,skvr04128850,skvr04129610,skvr04129770,skvr04130880,skvr04131660,skvr04135070,skvr04139680,skvr09200250,skvr09200260,skvr05110010,skvr05101070,skvr05112050,skvr05112610,skvr05104860,skvr05210480,skvr05211230,skvr05211630,skvr05201310,skvr05215670,skvr05201680,skvr05201850,skvr05218940,skvr05220190,skvr05202330,skvr05202810,skvr05203070,skvr05203100,skvr05203110,skvr05205711,skvr05205970,skvr05206300,skvr05208510,skvr05302500,skvr05302711,skvr05302710,skvr05303510,skvr05303561,skvr05303560,skvr05303681,skvr05303680,skvr05303690,skvr05303700,skvr05303721,skvr05303720,skvr05303730,skvr05303740,skvr05303750,skvr05304650,skvr05307521,skvr05307520,skvr05308240,skvr06105180,skvr06105520,skvr07103630,skvr07116780,skvr07116870,skvr07117020,skvr07117030,skvr07130230,skvr07215710,skvr12103250,skvr12103340,skvr12103390,skvr12103400,skvr12103410,skvr12103430,skvr12152460,skvr12152470,skvr12152480,skvr13001120,skvr13015651,skvr13016730,skvr13019030,skvr13019040,skvr13019050,skvr13019060,skvr13019070,skvr13019090,skvr13019900,skvr13022020,skvr13036210,skvr13039670,skvr13043180,skvr13048600,skvr13049170,skvr13076740,skvr13084390,skvr13106150,skvr13106160,skvr13124680,skvr13124820,skvr15101060,skvr15101080,skvr15101090,skvr15103850,skvr15108070
