t010300_0040	Antti lantti lammaspaimen laski lampaat kotiin	skvr04115530
t010300_0050	Aunuksen väliä ajelin	skvr05211080
t020100_0010	Aamen aina virren päässä	skvr05210480,skvr13012560,skvr13080310
t020100_0020	Aisa toinen, aisa toinen	skvr05300490,skvr07117240,skvr07144960,skvr13001660
t020100_0030	Alettiin laatia laulajaksi	skvr04133810,skvr04135340,skvr05201690
t020100_0040	Alkuvirsi	skvr09101010,skvr09101040,skvr09101060,skvr09101130,skvr09101170,skvr09101210,skvr09101280,skvr09101290,skvr09101300,skvr09101360,skvr09101410,skvr09101440,skvr09101510,skvr09100760,skvr09100800,skvr09100840,skvr09100880,skvr09100920,skvr09100950,skvr09100999
t020100_0050	Anna akka rätsinäni	skvr07119930,skvr07119940,skvr07119950,skvr07119970,skvr13021480
t020100_0060	Aukaisen sanaisen arkun	skvr01101650,skvr01104010,skvr01106831,skvr01108490,skvr01108490,skvr01109791,skvr01109790,skvr01112750,skvr01112770,skvr01112780,skvr01112820,skvr01112830,skvr01112840,skvr01112860,skvr01112900,skvr01112920,skvr01112940,skvr01112950,skvr01112980,skvr01113000,skvr01113010,skvr01113410,skvr01114730,skvr01212330,skvr01202030,skvr01204702,skvr01205770,skvr01209170,skvr04115260,skvr05200120,skvr05201310,skvr05201340,skvr05201350,skvr05201460,skvr05201560,skvr05200010,skvr05202300,skvr05200320,skvr05206230,skvr05200850,skvr05302510,skvr05303140,skvr06130050,skvr06130060,skvr06130070,skvr06130110,skvr06148720,skvr06150410,skvr07101481,skvr07101500,skvr07101540,skvr07101671,skvr07101670,skvr07114820,skvr07114830,skvr07114840,skvr07114850,skvr07114860,skvr07114870,skvr07114880,skvr07114890,skvr07114900,skvr07115030,skvr07115030,skvr07115040,skvr07115051,skvr07115050,skvr07115060,skvr07115070,skvr07115200,skvr07116460,skvr07116480,skvr12103340,skvr12145820,skvr12180030,skvr13010830,skvr13010870,skvr13016320,skvr13018830,skvr13018840,skvr13018850,skvr13047150,skvr13047270,skvr13105440,skvr13105450,skvr15102140
t020201_0010	Alahalla allin mieli	skvr01105310,skvr01108710,skvr01120200,skvr09405180,skvr09405500,skvr09408900,skvr05204460,skvr05204860,skvr05205740,skvr05205780,skvr05303820,skvr05303830,skvr05303840,skvr05303850,skvr06105530,skvr06105540,skvr06105550,skvr06105560,skvr06106220,skvr06106400,skvr06106410,skvr06106850,skvr07117290,skvr07117300,skvr07117310,skvr07117320,skvr07117330,skvr07117340,skvr07117350,skvr07117370,skvr07117380,skvr07117460,skvr07117880,skvr07118950,skvr07125310,skvr07135781,skvr07135780,skvr13019410,skvr13020870,skvr13020990,skvr13003200,skvr13000590,skvr13106270,skvr15101100,skvr15104290,skvr15104300
t020201_0020	Annan huolia hevosen	skvr04101050,skvr04103060,skvr04105140,skvr04133010,skvr04134600,skvr04135400,skvr05211230,skvr05205341,skvr05206080,skvr05206100,skvr05206120,skvr05206430,skvr05208440,skvr05313130,skvr05313150,skvr05304131,skvr05304130,skvr06106850,skvr06106860,skvr06147170,skvr07116380,skvr07117430,skvr07117440,skvr07117450,skvr07117460,skvr07117470,skvr07117480,skvr07117490,skvr07117501,skvr07117500,skvr07117510,skvr07117520,skvr07117530,skvr07117540,skvr07117840,skvr07117900,skvr07119120,skvr07120210,skvr07120980,skvr07138030,skvr07243380,skvr12103570,skvr13019150,skvr13019160,skvr13019170,skvr13019180,skvr13019190,skvr13019770,skvr13020090,skvr13021120,skvr13024830,skvr13028490,skvr13037610,skvr13106170,skvr13106650,skvr13107540,skvr13107550,skvr15104310
