t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t030300_1500	Nuku nuku jotta kasvat suureks	skvr09119240,skvr09120380,skvr09120390,skvr09120400,skvr09120410,skvr09120420,skvr09120430,skvr09120440,skvr09120450,skvr09120460,skvr09120470,skvr09120480,skvr09120490,skvr09120500,skvr09120510,skvr09120520,skvr09121760,skvr06111900,skvr06112240,skvr06112250,skvr06112260,skvr06112270,skvr06112280,skvr06112290,skvr06112300,skvr06112310,skvr06112320,skvr06112330,skvr06112340,skvr06112350,skvr06112360,skvr06112370,skvr06112380,skvr06115950,skvr07133610,skvr07136030,skvr07136040,skvr08124560,skvr08128140,skvr11101770,skvr11101780,skvr11101790,skvr12110180,skvr12110190,skvr13051730,skvr13051840,skvr13052380,skvr13052390,skvr13052400,skvr13052410,skvr13052420,skvr13052430,skvr13052440,skvr13055830,skvr13055840,skvr13111680,skvr13112670,skvr13113010,skvr13113020,skvr14104760,skvr14104770,skvr14104780,skvr14104790,skvr14104800,skvr14104810,skvr14104820,skvr14104830,skvr14104840,skvr14104850,skvr14104860,skvr14104870,skvr14104880,skvr14104890,skvr14104900,skvr14104910,skvr14104920
t030300_1510	Nuku nuku mamman kulta	skvr09202550,skvr09202600,skvr06115760,skvr07135060,skvr07135070,skvr08128290,skvr08128300,skvr08128340,skvr08128380,skvr08128670,skvr08131000,skvr08136230,skvr11102000,skvr11125690,skvr12110800
t030300_1520	Nuku nuku nukkeroinen	skvr03137760,skvr09110000,skvr09110010,skvr09110030,skvr09110040,skvr09110050,skvr09111320,skvr09121350,skvr09109270,skvr09109280,skvr09109910,skvr09109920,skvr09109930,skvr09109940,skvr09109950,skvr09109960,skvr09109970,skvr09109980,skvr09109990,skvr06112230,skvr06112430,skvr06114980,skvr08117530,skvr08118160,skvr08118170,skvr08118190,skvr08118200,skvr08118210,skvr08118220,skvr08118230,skvr08118240,skvr08118250,skvr08118260,skvr08118270,skvr08118280,skvr08118290,skvr08118300,skvr08118310,skvr08118320,skvr08118330,skvr08118340,skvr08118350,skvr08118360,skvr08118370,skvr08118380,skvr08118390,skvr08118400,skvr08118410,skvr08118420,skvr08118430,skvr08118440,skvr08118450,skvr08118460,skvr08118470,skvr08118490,skvr08118500,skvr08118510,skvr08118520,skvr08118530,skvr08118540,skvr08118550,skvr08118560,skvr08118570,skvr08118580,skvr08118590,skvr08118600,skvr08118610,skvr08118620,skvr08118630,skvr08118640,skvr08118650,skvr08118660,skvr08118670,skvr08118680,skvr08118690,skvr08118700,skvr08118710,skvr08118720,skvr08118730,skvr08118740,skvr08118750,skvr08118760,skvr08118770,skvr08118780,skvr08120070,skvr08129740,skvr08147400,skvr08147410,skvr08147420,skvr10107110,skvr10107120,skvr10107130,skvr10107140,skvr10107150,skvr10107160,skvr10107170,skvr10107180,skvr10107190,skvr10107200,skvr10107210,skvr10107220,skvr10107230,skvr10107240,skvr10107250,skvr10107260,skvr10107270,skvr10107290,skvr12105970,skvr12182120,skvr13052450,skvr14105740,skvr14105760,skvr14105770,skvr14105780,skvr14105790,skvr14105800,skvr14105810,skvr14105820,skvr14105830,skvr14105840,skvr14105850,skvr14105860,skvr14105870,skvr14105880,skvr14105890,skvr14105900,skvr14105910,skvr14105920,skvr14105930,skvr14105940,skvr14105950,skvr14105960,skvr14105970,skvr14105980,skvr14105990
t030300_1530	Nuku, nuku, nuori oksa	skvr07135650,skvr13113320
t030300_1540	Nuku, nuku, nurmennukka	skvr04139050,skvr05217700,skvr05310070,skvr06111800,skvr06115410,skvr07134550,skvr07134560,skvr07134580,skvr07134860,skvr07135670,skvr07137570,skvr13031830,skvr13052460,skvr13052550,skvr13052590,skvr13052600,skvr13052610,skvr13052660,skvr13052820,skvr13052900,skvr13052910,skvr13052930,skvr13057200,skvr13057230,skvr13057240,skvr13057250,skvr13057270,skvr13057290,skvr13057330,skvr13057930,skvr13113050,skvr13113060,skvr13113080,skvr13113120,skvr13113160,skvr13113210,skvr13113270,skvr13113280,skvr13113710,skvr13115310,skvr13115340,skvr13115350
t030300_1550	Nuku, nuku, nurmilintu	skvr01118070,skvr01118081,skvr01118082,skvr01118080,skvr01118090,skvr01222790,skvr01222800,skvr01222811,skvr01222810,skvr03118310,skvr03122130,skvr04105090,skvr04118060,skvr04122450,skvr04136930,skvr04138790,skvr04139040,skvr04139050,skvr04139970,skvr04140740,skvr04140880,skvr09110020,skvr09110030,skvr09110060,skvr09110070,skvr09110080,skvr09110090,skvr09110100,skvr09110110,skvr09110120,skvr09110130,skvr09110140,skvr09110150,skvr09110160,skvr09110170,skvr09110180,skvr09110190,skvr09110200,skvr09110210,skvr09110220,skvr09110230,skvr09110240,skvr09110250,skvr09110260,skvr09110270,skvr09110280,skvr09110290,skvr09110300,skvr09110310,skvr09110320,skvr09110330,skvr09110340,skvr09110350,skvr09110360,skvr09110370,skvr09110380,skvr09110390,skvr09110400,skvr09110410,skvr09110420,skvr09110430,skvr09110440,skvr09110450,skvr09110460,skvr09110470,skvr09110480,skvr09110490,skvr09110500,skvr09110510,skvr09110520,skvr09110530,skvr09110540,skvr09110550,skvr09110560,skvr09110570,skvr09110580,skvr09110590,skvr09110600,skvr09110610,skvr09110620,skvr09110630,skvr09110640,skvr09110650,skvr09110660,skvr09110670,skvr09110680,skvr09110690,skvr09109990,skvr09201180,skvr09201200,skvr09201210,skvr09201220,skvr09201230,skvr09201240,skvr09201250,skvr09201260,skvr09201270,skvr09201280,skvr09201290,skvr09201300,skvr09201310,skvr09201320,skvr09201330,skvr09201340,skvr09201350,skvr09201360,skvr09201370,skvr09201380,skvr09201390,skvr05217710,skvr05217720,skvr05217730,skvr05218270,skvr05218390,skvr05310070,skvr05310080,skvr06110770,skvr06111810,skvr06111820,skvr06111830,skvr06111840,skvr06111850,skvr06111860,skvr06111870,skvr06111880,skvr06111890,skvr06111900,skvr06111910,skvr06111920,skvr06111930,skvr06111940,skvr06111950,skvr06111960,skvr06111970,skvr06111980,skvr06111990,skvr06112000,skvr06112010,skvr06112020,skvr06112030,skvr06112040,skvr06112050,skvr06112070,skvr06112080,skvr06112090,skvr06112100,skvr06112110,skvr06112120,skvr06112130,skvr06112140,skvr06112150,skvr06112160,skvr06112170,skvr06112180,skvr06112190,skvr06112200,skvr06112210,skvr06112220,skvr06115530,skvr06166490,skvr06166500,skvr06166510,skvr06166510,skvr06166520,skvr06166530,skvr06166540,skvr06166550,skvr06166560,skvr06166570,skvr06166580,skvr06166590,skvr06166600,skvr06166610,skvr06166620,skvr06166630,skvr06166640,skvr06166651,skvr06166652,skvr06166650,skvr06166670,skvr06168280,skvr07134550,skvr07134560,skvr07135041,skvr07135660,skvr07135681,skvr07135680,skvr07135690,skvr07135700,skvr07135710,skvr07135720,skvr07135730,skvr07135740,skvr07135750,skvr07135760,skvr07135770,skvr07135781,skvr07135780,skvr07135790,skvr07135800,skvr07135810,skvr07135820,skvr07135830,skvr07135840,skvr07135850,skvr07135860,skvr07135870,skvr07135960,skvr08118450,skvr08118790,skvr08118800,skvr08118810,skvr08118820,skvr08118830,skvr08118840,skvr08118850,skvr08118860,skvr08118870,skvr08118880,skvr08118890,skvr08118900,skvr08118910,skvr08118920,skvr08124540,skvr08128560,skvr08129740,skvr10106961,skvr10106960,skvr10106970,skvr10106980,skvr10106990,skvr10107000,skvr10107010,skvr10107020,skvr10107030,skvr10107040,skvr10107050,skvr10107061,skvr10107062,skvr10107060,skvr10107070,skvr10107081,skvr10107082,skvr10107080,skvr10107090,skvr10107100,skvr10107180,skvr10107260,skvr10107800,skvr11101360,skvr11101390,skvr11101400,skvr11125240,skvr11125270,skvr11125280,skvr11125290,skvr11100790,skvr11100800,skvr11100810,skvr11100820,skvr11100830,skvr11100840,skvr11100850,skvr11100860,skvr11100870,skvr11100880,skvr11100900,skvr11100910,skvr11100920,skvr11100930,skvr12110780,skvr12110790,skvr12119580,skvr12106010,skvr12106020,skvr12106040,skvr12106090,skvr12106151,skvr12106250,skvr12106321,skvr12106540,skvr12106590,skvr12106800,skvr12106850,skvr12106870,skvr12106880,skvr12106890,skvr12106900,skvr12106910,skvr12106920,skvr12106930,skvr12106940,skvr12106950,skvr12106960,skvr12106970,skvr12106980,skvr12182140,skvr12182190,skvr13031830,skvr13052470,skvr13052480,skvr13052490,skvr13052500,skvr13052510,skvr13052520,skvr13052530,skvr13052540,skvr13052560,skvr13052570,skvr13052580,skvr13052620,skvr13052630,skvr13052640,skvr13052650,skvr13052670,skvr13052680,skvr13052690,skvr13052700,skvr13052710,skvr13052720,skvr13052730,skvr13052740,skvr13052750,skvr13052760,skvr13052770,skvr13052780,skvr13052790,skvr13052800,skvr13052810,skvr13052820,skvr13052830,skvr13052840,skvr13052850,skvr13052860,skvr13052870,skvr13052880,skvr13052890,skvr13052900,skvr13052920,skvr13052930,skvr13052940,skvr13052950,skvr13052960,skvr13052970,skvr13052980,skvr13052990,skvr13053000,skvr13053010,skvr13053020,skvr13053030,skvr13053040,skvr13053050,skvr13053060,skvr13053070,skvr13053080,skvr13053090,skvr13053100,skvr13053110,skvr13053120,skvr13053130,skvr13053140,skvr13053150,skvr13053160,skvr13053170,skvr13053180,skvr13053190,skvr13053200,skvr13053660,skvr13054360,skvr13054940,skvr13058991,skvr13112960,skvr13113030,skvr13113040,skvr13113050,skvr13113070,skvr13113090,skvr13113100,skvr13113110,skvr13113120,skvr13113130,skvr13113140,skvr13113150,skvr13113160,skvr13113170,skvr13113180,skvr13113190,skvr13113200,skvr13113210,skvr13113220,skvr13113230,skvr13113240,skvr13113250,skvr13113260,skvr13113270,skvr13113280,skvr13113290,skvr13113300,skvr13113310,skvr13113320,skvr13113330,skvr13113340,skvr13113350,skvr13113360,skvr13113370,skvr13113380,skvr13113390,skvr13114670,skvr14106020,skvr14106030,skvr14106040,skvr14106050,skvr14106060,skvr14106070,skvr14106080,skvr14106090,skvr14106100,skvr14106110,skvr14106120,skvr14106130,skvr14106160,skvr14106170,skvr14106180,skvr14106190,skvr14106200,skvr14106220,skvr14106230,skvr14106240,skvr14106250,skvr14106260,skvr14106270,skvr14106280,skvr14106290,skvr14106300,skvr14106310,skvr14106320,skvr14106330,skvr14106340,skvr14106350,skvr14106360,skvr14106370,skvr14106380,skvr14106390,skvr14106400,skvr14106411,skvr14106410,skvr14106420,skvr14106430,skvr14106440,skvr14106450,skvr14106460,skvr14106470,skvr14106480,skvr14106490,skvr14106500,skvr14106510,skvr14106520,skvr14106530,skvr14106540,skvr14106550,skvr14106560,skvr14106570,skvr14106580,skvr14106590,skvr14106600,skvr14106610,skvr14106620,skvr14106630,skvr14106640,skvr14106650,skvr14106660,skvr14106670,skvr14106680,skvr14106690,skvr14106700,skvr14106710,skvr14106720,skvr14106730,skvr14106740,skvr14106750,skvr14108990
t030300_1560	Nuku nuku untuvainen	skvr13113400
t030300_1570	Nuku, nuku yksi silmä	skvr03110610,skvr03102420
t030300_1580	Nuku, nuku, äidin pieni	skvr06115830,skvr12182130
t030300_1590	Nukuta Jumala lasta	skvr01118060,skvr01118421,skvr01118540,skvr01118600,skvr01222960,skvr01222970,skvr01222980,skvr01223050,skvr01223060,skvr01223220,skvr01223250,skvr01223270,skvr01206660,skvr02105810,skvr03106060,skvr03123140,skvr03123160,skvr03131980,skvr03135360,skvr03135410,skvr04110860,skvr04110870,skvr04104230,skvr04105090,skvr04118050,skvr04122450,skvr04132950,skvr04133030,skvr04133540,skvr04136930,skvr04136970,skvr04138860,skvr04146890,skvr04147660,skvr09110040,skvr09201170,skvr09201180,skvr09201190,skvr05217680,skvr05217691,skvr05217692,skvr05217690,skvr06112250,skvr06112390,skvr06112400,skvr06112410,skvr06112420,skvr06112440,skvr06112450,skvr06112460,skvr06112470,skvr06113720,skvr06107160,skvr06147150,skvr06147180,skvr06166820,skvr06166850,skvr07134550,skvr07134560,skvr07134600,skvr07135880,skvr07135890,skvr07135900,skvr07135910,skvr07135921,skvr07135920,skvr07135930,skvr07135940,skvr07135950,skvr07135961,skvr07135962,skvr07135963,skvr07135960,skvr07135980,skvr07135990,skvr07136001,skvr07136000,skvr07136010,skvr07136020,skvr07136691,skvr07222340,skvr07222910,skvr11125260,skvr11100450,skvr11100460,skvr11100810,skvr12109500,skvr13051920,skvr13052670,skvr13052900,skvr13053210,skvr13053220,skvr13053230,skvr13053240,skvr13053250,skvr13053260,skvr13053270,skvr13053940,skvr13054680,skvr13054790,skvr13055160,skvr13055180,skvr13057140,skvr13058630,skvr13058991,skvr13111820,skvr13112980,skvr13113210,skvr13113410,skvr13113420,skvr13113430,skvr13113440,skvr13113450,skvr13113460,skvr14106150,skvr14106780,skvr14106790
t030300_1600	Nurmi-Tuomas	skvr05310240,skvr06112190,skvr06113740,skvr06113750,skvr13054700,skvr13054710,skvr13054720,skvr13054730,skvr13113110,skvr13114400,skvr13115080,skvr13116270,skvr14105540,skvr14106890,skvr14106900
t030300_1610	Nyt mie souvan, nyt mie jouvan	skvr12108460,skvr13053280,skvr13053280,skvr13113470
t030300_1620	Näitkös meidän Maijaa	skvr08131010,skvr08131022,skvr0813102c0,skvr08131020,skvr08143270,skvr10111950,skvr10111960,skvr10111970,skvr10118690
t030500_0190	Näin ennen isot elivät	skvr05221880,skvr05221920,skvr05311420,skvr05302840,skvr13009960,skvr13030600,skvr13081090
t030600_0990	Nai kukka kuninkaan kartanosta	skvr05211730,skvr05212030,skvr05220020,skvr05220030,skvr13029030,skvr13072600
t030600_1000	Neito tanssi tammikossa	skvr05310610,skvr05310620,skvr13071210
t030600_1010	Neitsyt meni ryytimaahan	skvr13072690,skvr13072700,skvr13072710,skvr13072720,skvr13108600,skvr13108610
t030600_1020	Neljältä kantilta	skvr13124840
t030600_1030	Niin kulkee kultasemme komeasti	skvr13071220
t030600_1040	Noista pari tulisi	skvr05212040,skvr05220270,skvr05310640,skvr06128530,skvr13071140,skvr13071500,skvr13071590
t030600_1050	Nouskaa norolle nuoret, pankaa käsi kätehen	skvr03115820,skvr03115910,skvr04110600,skvr04114420,skvr04106080,skvr04116650,skvr04117950,skvr04122110,skvr04141110,skvr04141610,skvr13026710,skvr13070610,skvr15111850
t030600_1060	Nuoran punominen	skvr13006490,skvr13006500,skvr13006520,skvr13006530,skvr13075140
t030600_1070	Nyt on  meillä lysti leikki	skvr04113200,skvr05310090,skvr13011600,skvr13012500,skvr13012520,skvr13012540,skvr13071250,skvr13071260,skvr13071270,skvr13071280,skvr13071290,skvr13071300,skvr13117220,skvr13123810,skvr13123820,skvr13123830
t030600_1080	Nyt sä tanssijan tapasit	skvr05219780
t030700_0490	Nuutin runo	skvr09102940,skvr09102950,skvr09102960,skvr09102970,skvr09102980,skvr09102990,skvr09103000,skvr09103010,skvr09103020,skvr09103030,skvr09103040,skvr09103050,skvr09103060,skvr09103070,skvr09103080,skvr09103090,skvr09103100,skvr10102020,skvr10102050,skvr10102270,skvr13048240,skvr13048250,skvr13048260,skvr13110190,skvr13110210,skvr13121630,skvr14101620,skvr14101630,skvr14101640,skvr14101650,skvr14101660,skvr14101670,skvr14101690,skvr14101700,skvr14101710,skvr14101720,skvr14101750,skvr14101760,skvr14101770,skvr14101780,skvr14101790,skvr14101800,skvr14101820,skvr14101830,skvr14101850,skvr14101860,skvr14101870
t030800_0340	Neidot kysyy: miksi ei meitä nuorra naida?	skvr04102210,skvr04104540,skvr04115620,skvr04127910,skvr04132340,skvr04133090,skvr04133900,skvr04134410,skvr04134690,skvr04136280,skvr04139330,skvr05222650,skvr13014810
t030800_0350	Niityt alla, pellot päällä, keskellä kylä soria	skvr03111310,skvr03101360,skvr03118910,skvr03120920,skvr03122370,skvr03136830,skvr04101380,skvr04114170,skvr04105000,skvr04106100,skvr04116220,skvr04124470,skvr04124520,skvr04124550,skvr04125750,skvr04131070,skvr04131390,skvr04134280,skvr04135000,skvr04135170,skvr04135540,skvr04139110,skvr04141130,skvr04146270,skvr04146540,skvr04146600,skvr04146680,skvr04146800,skvr04147680,skvr04147970,skvr05221470,skvr05202720
t040101_0130	Naiset kosimassa	skvr05211180,skvr05221980,skvr05306130,skvr05307241,skvr05307240,skvr13034660,skvr13034670,skvr13034680,skvr13034690,skvr13034700,skvr13034710
t040102_0110	Naitavat tulukset tuovat tupakoille	skvr13034920
t040102_0120	Niin tuli tupakka-ilta	skvr05212920
t040102_0130	Nousin tänä huomenessa	skvr01111850,skvr01114890,skvr01114900,skvr01115390,skvr01115970,skvr01119270,skvr01119280,skvr02104690,skvr02104700,skvr02104720,skvr02104730,skvr02104750,skvr02104760,skvr02104770,skvr02104780,skvr02104790,skvr02104810,skvr02104860,skvr02105070,skvr02105130,skvr07131150
t040102_0140	Nuuskatupakka	skvr06165180,skvr06170682,skvr13034780,skvr13034860,skvr13108700,skvr13108710
t040103_0070	Neito telttaa tekee	skvr07129230
t040105_0140	Nouskaa eestä ristirahvas	skvr03116840,skvr03116870,skvr03125030,skvr03125920,skvr03130460,skvr03137160,skvr04123100
t040201_0310	Notkahduttele nuoret niskat	skvr02104870,skvr02104880,skvr02104910,skvr07128170,skvr07128520,skvr07128531,skvr07128532,skvr07128530,skvr07128540
t040201_0320	Näytä meille näkösi, oletko parroittunut	skvr04112920,skvr04101690,skvr04102900,skvr04104750,skvr04105040,skvr04106320,skvr04116720,skvr04117170,skvr04117340,skvr04122900,skvr04123320,skvr04124330,skvr04124700,skvr04124990,skvr04127820,skvr04128900,skvr04130710,skvr04130740,skvr04131590,skvr04133060,skvr04133420,skvr04133480,skvr04134350,skvr04135260,skvr04135850,skvr04136060,skvr04137970,skvr04138340,skvr04138440,skvr04139010,skvr04139360,skvr04139780,skvr04141350
t040203_0120	Näytä käki kätesi - Jo näytti käki kätensä	skvr03100280,skvr03104050,skvr03104240,skvr03116410,skvr03117060,skvr03117070,skvr03117470,skvr03122620,skvr03124400,skvr03124410,skvr03124720,skvr03124730,skvr03124890,skvr03125090,skvr03125100,skvr03130110,skvr03131160,skvr03131660,skvr03135630,skvr03142690,skvr04146020,skvr04146130,skvr04146500
t040203_0130	Neidon nimi pyydetään saada tietää ja hänet nähdä	skvr03100210,skvr03100250,skvr03116380,skvr03117050,skvr03117180,skvr03124680,skvr03130380,skvr03130430,skvr03139700,skvr03142680
t040203_0140	Neito on aitassa	skvr03100250,skvr03105930,skvr03100090,skvr03117040,skvr03117050,skvr03117410,skvr03117660,skvr03117670,skvr03121510,skvr03122650,skvr03123810,skvr03124670,skvr03124990,skvr03125460,skvr03130200,skvr03130430,skvr03130910,skvr03133690,skvr03134110,skvr03135690,skvr03142680,skvr04146230,skvr04146420,skvr04146450,skvr04146980,skvr04147810,skvr15111550
t040203_0150	Neuvo meille neidon huone	skvr03130370,skvr04114930,skvr04123170
t040206_1170	Neidot muistuttavat morsianta entisestä yhdessä olosta	skvr04112700,skvr04107070,skvr04124300,skvr04125850,skvr04128380,skvr04131230,skvr04135980,skvr05213920,skvr13037390,skvr13037400
t040206_1180	Neito kengitetty kuin hevonen raudotettu	skvr04101160,skvr13046910
t040206_1190	Nuorikon aamuherätys	skvr04112780,skvr04101530,skvr04124240,skvr04129630,skvr04130860,skvr04132780,skvr04133490,skvr04133640,skvr04135160,skvr04136080,skvr04136170,skvr04136220,skvr04138330,skvr04140960,skvr05215650,skvr05216380,skvr13037440,skvr13037730,skvr13039000,skvr13046620,skvr13046840
t040206_1200	Nuorikon töihin ajo	skvr04115820,skvr04124240,skvr04124250,skvr04124440,skvr04132600,skvr04135160,skvr04135920,skvr04138330,skvr04140960
t040206_1210	Nyt meille ero tulee, eroleipä leikataan	skvr04103680,skvr04123340,skvr04124300,skvr04124450,skvr04141910,skvr04145820,skvr05213920,skvr13037390,skvr13037400
t040206_1220	Nyt olet sananalainen antilas	skvr13037410
t040206_1230	Nyt saat huutaa huolissasi	skvr13037420
t040207_0290	Nyt valjastetaan länkiä emähevosen	skvr13046980
t040301_0230	Nouse korjasta koria, rehiäinen reen perästä	skvr01116640,skvr01116650,skvr01116680,skvr01116690,skvr01116700,skvr01116731,skvr01116730,skvr01116750,skvr01116770,skvr01116780,skvr01116790,skvr01116820,skvr01116840,skvr01116860,skvr01116900,skvr01116960,skvr01116980,skvr01117080,skvr01117110,skvr01117200,skvr01117230,skvr01117260,skvr01117280,skvr01117321,skvr01117320,skvr01117330,skvr01117340,skvr01117350,skvr01117360,skvr01117380,skvr01117390,skvr01117400,skvr01117410,skvr01117420,skvr01117430,skvr01222500,skvr01222521,skvr01222520,skvr01222530,skvr01222550,skvr02104990,skvr02105320,skvr02105330,skvr02105340,skvr02105360,skvr02105380,skvr02105400,skvr02105410,skvr02105420,skvr02105440,skvr02105460,skvr02105500,skvr02105512,skvr02105510,skvr02105520,skvr02105530,skvr02105550,skvr02105560,skvr02105570,skvr03130920,skvr07128950,skvr07129650,skvr07129660,skvr07129680,skvr07129690,skvr07129710,skvr07129720,skvr07129730,skvr07129750,skvr07129760,skvr07129770,skvr07129780,skvr07129790,skvr07129800,skvr07129810,skvr07129820,skvr07129830,skvr07129840,skvr07129850,skvr07129860,skvr07129871,skvr07129872,skvr07129870,skvr07129880,skvr07129890,skvr07129920,skvr07129930,skvr07129940,skvr07129950,skvr07129960,skvr07129970,skvr07129990,skvr07130000,skvr07130030,skvr07130060,skvr07130090,skvr07130120,skvr07130180,skvr07130190,skvr07130200,skvr07130210,skvr07130220,skvr07130230,skvr07130240,skvr07130300,skvr07130970,skvr07131210
t040301_0240	Nouse rytty reen perästä	skvr04112390,skvr04112660,skvr04107040,skvr04124400,skvr04127120,skvr04130230,skvr05214750,skvr05214830,skvr05307690,skvr05308770,skvr07130170,skvr13039010,skvr13040070,skvr13040370,skvr13040510,skvr13109380
t040301_0250	Nouse sotka soutimilta, alli airoilta ylene	skvr01116811,skvr01116810,skvr01116900,skvr01116910,skvr01116930,skvr01116950,skvr01116990,skvr01117000,skvr01117010,skvr01117020,skvr01117030,skvr01117040,skvr01117100,skvr01117130,skvr01117210,skvr01117240,skvr01117250,skvr01117440,skvr02105260,skvr02105481,skvr02105482,skvr02105480
t040301_0260	Nuoteet sulhastaloon tullessaan	skvr13045820,skvr13045830
t040308_0070	Näitä häitä hällättiin	skvr05216540,skvr07125680,skvr13035640,skvr13035650,skvr13035670
t040309_0090	Nolo olla nuorikkona	skvr13047420
t040309_0100	Nouse pois, nuori vaimo	skvr07131530,skvr07131540
t040309_0110	Nyt on tyhjät istuimesi	skvr13041930,skvr13046090,skvr13046140,skvr13046210,skvr13046220,skvr13046240,skvr13046250,skvr13046290,skvr13046300,skvr13046340,skvr13046390,skvr13046400,skvr13046430
t040310_0020	Nostajaiset	skvr04132160,skvr04132240,skvr04135290,skvr04141940,skvr04141950
t040401_0520	Ne kolme kotiin heitä	skvr03116530,skvr03117520,skvr03124960,skvr03130360,skvr03134830,skvr04114850,skvr04124240,skvr04133160,skvr04146130,skvr04146140,skvr04146160,skvr04146190,skvr04146480,skvr05215250,skvr05215690,skvr05216370,skvr05307481,skvr05307480,skvr05309071,skvr05309070,skvr12103840,skvr13035160,skvr13043210,skvr13043820,skvr13043840,skvr13043850,skvr13043860,skvr13043870,skvr13043880,skvr13043900,skvr13043910,skvr13043920,skvr13043930,skvr13046620,skvr13109011,skvr13109010
t040401_0530	Neuvokaa neito talon tavoille	skvr01116580,skvr04112440,skvr04123340,skvr04124370,skvr04124430,skvr04130210,skvr04134170,skvr05215220,skvr07129160,skvr13043950,skvr13043980
t040401_0540	Nouse varhain lehmiä lypsämään	skvr13043400,skvr13043490,skvr13043520,skvr13043600
t040401_0550	Notkahuta nuoret niskat	skvr01116480,skvr01116560,skvr01116580,skvr01116610,skvr01116690,skvr01116770,skvr01116780,skvr01116790,skvr01116810,skvr01116820,skvr01116840,skvr01116850,skvr01116861,skvr01116860,skvr01116890,skvr01116900,skvr01116950,skvr01117000,skvr01117010,skvr01117020,skvr01117040,skvr01117060,skvr01117100,skvr01117110,skvr01117200,skvr01117220,skvr01117230,skvr01117260,skvr01117310,skvr01117320,skvr01117330,skvr01117340,skvr01117350,skvr01117360,skvr01117380,skvr01117390,skvr01117410,skvr01222500,skvr01222521,skvr01222520,skvr01222550,skvr02105510,skvr07129690,skvr07129710,skvr07129780,skvr07129790,skvr07129800,skvr07129960,skvr07130180,skvr07130270,skvr07130300,skvr07131210,skvr07131420,skvr07131430
t040401_0560	Nukkuminen	skvr03108700,skvr03121320,skvr03125380,skvr04114560,skvr04122970,skvr04123230,skvr04135980,skvr04139950,skvr05215420,skvr13042770
t040402_0140	Neuvo neittä nelinurkkaisessa	skvr01116040,skvr03104060,skvr03104250,skvr03117510,skvr03117690,skvr03118670,skvr03121330,skvr03124030,skvr03124870,skvr03125480,skvr03130240,skvr03130270,skvr03130640,skvr03130760,skvr03131190,skvr03132340,skvr03132680,skvr03132880,skvr03134850,skvr03135590,skvr03142290,skvr04112540,skvr04112790,skvr04114590,skvr04102040,skvr04104180,skvr04106960,skvr04107100,skvr04115820,skvr04116820,skvr04123000,skvr04126920,skvr04127130,skvr04127750,skvr04129850,skvr04130200,skvr04130850,skvr04132290,skvr04132910,skvr04133480,skvr04133670,skvr04134170,skvr04135220,skvr04136090,skvr04138350,skvr04139950,skvr04141210,skvr04141440,skvr04141790,skvr04141890,skvr05213160,skvr05214470,skvr05214480,skvr05214490,skvr05214511,skvr05214510,skvr05214530,skvr05214580,skvr05214590,skvr05214610,skvr05214650,skvr05214670,skvr05214690,skvr05307931,skvr05307930,skvr06107910,skvr07130601,skvr07130602,skvr07130603,skvr07130604,skvr07130600,skvr07130620,skvr07130630,skvr07130640,skvr07130650,skvr07130660,skvr07130670,skvr07130680,skvr07130690,skvr13036310,skvr13036320,skvr13040620,skvr13043180,skvr13044190,skvr13044330,skvr13044340,skvr13044460,skvr13044490,skvr13044530,skvr13044580,skvr13044590,skvr13044670,skvr13044700,skvr13044730,skvr13044760,skvr13044850,skvr13044900,skvr13044910,skvr13044930,skvr13044940,skvr13044960,skvr13044980,skvr13045040,skvr13045050,skvr13045060,skvr13045070,skvr13045080,skvr13045090,skvr13046650,skvr13046810,skvr15111580
t040402_0150	Neuvo neittä neljä vuotta	skvr01116040,skvr04112540,skvr04107100,skvr04130850,skvr04133670,skvr05214420,skvr05214430,skvr05214480,skvr05214511,skvr05214510,skvr05214530,skvr05214610,skvr05214670,skvr05307931,skvr05307930,skvr06107910,skvr07130601,skvr07130602,skvr07130603,skvr07130604,skvr07130600,skvr07130610,skvr07130620,skvr07130630,skvr07130640,skvr07130650,skvr07130660,skvr07130680,skvr07130690,skvr13036310,skvr13036320,skvr13038480,skvr13040620,skvr13044190,skvr13044300,skvr13044310,skvr13044580,skvr13044590,skvr13044640,skvr13044650,skvr13044660,skvr13044680,skvr13044700,skvr13044730,skvr13044810,skvr13044840,skvr13044850,skvr13044870,skvr13044920,skvr13044930,skvr13044940,skvr13044960,skvr13044980,skvr13045000,skvr13045010,skvr13045020,skvr13045050,skvr13046640,skvr13046650,skvr13046810
t040402_0160	Niskat nuoret notkuttele	skvr01117230
t040501_0170	Neuvoo nelisnurkkaisessa	skvr13041730
t040502_0370	Nurmet alla, pellot päällä	skvr05216690,skvr05216700,skvr13041390,skvr13041400,skvr13041440,skvr13041470,skvr13041490,skvr13041500,skvr13041570,skvr13042940,skvr13047770
t040502_0380	Näittekö tullessanne näsäpäitä närtteitä	skvr05213230,skvr05215320,skvr05215540,skvr05216640,skvr05216680,skvr05217240,skvr05309231,skvr05309230,skvr13036380,skvr13038480,skvr13040860,skvr13040930,skvr13041180,skvr13041200,skvr13041220,skvr13041290,skvr13041310,skvr13041330,skvr13041340,skvr13041380,skvr13041410,skvr13041450,skvr13041460,skvr13041520,skvr13041530,skvr13041580,skvr13041590,skvr13041600,skvr13041610,skvr13041620,skvr13041640,skvr13041650,skvr13041930
