t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t010100_2510	Nurmen neito	skvr01221760,skvr01222050,skvr03111440,skvr03111990,skvr03112240,skvr03112370,skvr03112380,skvr03112390,skvr03112400,skvr03101690,skvr03103110,skvr03103120,skvr03103130,skvr03103150,skvr03106070,skvr03106830,skvr03100680,skvr03107890,skvr03100850,skvr03112530,skvr03112630,skvr03113620,skvr03114120,skvr03118010,skvr03118680,skvr03119220,skvr03119770,skvr03121390,skvr03121750,skvr03121860,skvr03123990,skvr03124300,skvr03125940,skvr03126830,skvr03127020,skvr03127910,skvr03128120,skvr03128320,skvr03129480,skvr03129490,skvr03132260,skvr03133600,skvr03134670,skvr03135210,skvr03138990,skvr03139270,skvr03140250,skvr03140770,skvr03141070,skvr03142240,skvr04111640,skvr04113570,skvr04113580,skvr04101760,skvr04101980,skvr04103570,skvr04104010,skvr04104470,skvr04100040,skvr04105320,skvr04105740,skvr04106180,skvr04106400,skvr04106670,skvr04106900,skvr04109530,skvr04115130,skvr04115150,skvr04118150,skvr04118160,skvr04118170,skvr04118330,skvr04118350,skvr04118360,skvr04119170,skvr04119190,skvr04119530,skvr04120350,skvr04120810,skvr04125740,skvr04126220,skvr04126330,skvr04126990,skvr04127640,skvr04128570,skvr04128590,skvr04131150,skvr04131170,skvr04131870,skvr04132730,skvr04132760,skvr04137260,skvr04137270,skvr04137290,skvr04139260,skvr05101350,skvr05102320,skvr05102370,skvr05102730,skvr05103050,skvr05105280,skvr05105410,skvr05105420,skvr05105450,skvr05105570,skvr05105580,skvr05105590,skvr05105640,skvr05106350,skvr05106360,skvr05108100,skvr05108110,skvr05108120,skvr05108130,skvr05108140,skvr05108150,skvr05108160,skvr05108170,skvr05108180,skvr05108190,skvr05108200,skvr05108210,skvr05108220,skvr05108230,skvr05108240,skvr05217360,skvr05301460,skvr05301470,skvr05301481,skvr05301480,skvr05301491,skvr05301490,skvr05301501,skvr05301500,skvr06101670,skvr06103540,skvr06103580,skvr06103610,skvr06103620,skvr06103630,skvr06100830,skvr06100840,skvr06100850,skvr06100860,skvr06100870,skvr06100880,skvr06100890,skvr06164130,skvr06164900,skvr06164910,skvr06164920,skvr07100630,skvr07100640,skvr07100650,skvr07100670,skvr07100680,skvr07100690,skvr07100700,skvr07100710,skvr07100720,skvr07100750,skvr07100760,skvr07100770,skvr07100780,skvr07100790,skvr07100800,skvr07100810,skvr07100820,skvr07100830,skvr07100840,skvr07100850,skvr07100860,skvr07203041,skvr13011330,skvr13011410,skvr13012931,skvr13012930,skvr13015180,skvr13015231,skvr13015230,skvr13004120,skvr13004190,skvr13004210,skvr13004350,skvr13004360,skvr13004370,skvr13004380,skvr13004390,skvr13004410,skvr13004430,skvr13004440,skvr13004450,skvr13004460,skvr13004470,skvr13004480,skvr13004490,skvr13006830,skvr13006840,skvr13006870,skvr13006890,skvr13006920,skvr13006990,skvr13007000,skvr13007050,skvr13007100,skvr13007110,skvr13007120,skvr13007151,skvr13007150,skvr13007160,skvr13007170,skvr13007180,skvr13007190,skvr13007200,skvr13007210,skvr13007240,skvr13007250,skvr13007260,skvr13007280,skvr13007300,skvr13007330,skvr13007340,skvr13007350,skvr13007360,skvr13008280,skvr13008720,skvr13008830,skvr13099920,skvr13104200,skvr13104210,skvr13105370,skvr13105380,skvr14100570,skvr14100810,skvr15110410,skvr15110420,skvr15110430,skvr15110440,skvr15110450,skvr15110460,skvr15110470,skvr15110480,skvr15110490,skvr15110500,skvr15110510,skvr15110520,skvr15110530,skvr15110540,skvr15110550,skvr15110560,skvr15110570,skvr15106870,skvr15108210
t010100_2520	Nyt anto kovat ajat Jumala	skvr04106350,skvr04118180,skvr05108850,skvr05109020,skvr05211010,skvr13011790,skvr13011830
t010100_2530	Näitkö, kokko, taattoani?	skvr01113960,skvr01114520,skvr02111690,skvr02111700,skvr02111710,skvr02111720,skvr02104350,skvr02104360,skvr02104370,skvr02104380,skvr02104390,skvr07125970,skvr07125980,skvr07125990,skvr07126000,skvr07126010,skvr07126020,skvr07126030,skvr07126040,skvr07126050,skvr07126060,skvr07126070,skvr07126080,skvr07126090,skvr07126100,skvr07126111,skvr07126110,skvr07126120,skvr07126130
t010100_2540	Nälkävuosi	skvr01111590
t010100_2550	Nälän kulku	skvr09132730,skvr09132740,skvr09132750,skvr09132760,skvr09132770,skvr09132780,skvr09132790,skvr09132800,skvr09132810,skvr09132820,skvr09204280,skvr09204290,skvr09204300,skvr09204310,skvr06102970,skvr06102980,skvr06102990,skvr06103000,skvr06103010,skvr06103020,skvr06164690,skvr07113040,skvr08144040,skvr08144050,skvr08144060,skvr08144070,skvr08144080,skvr08144090,skvr08144100,skvr08144110,skvr08144120,skvr10101040,skvr10101050,skvr10101060,skvr10101070,skvr10101080,skvr10101090,skvr10101100,skvr10101110,skvr10101120,skvr10101130,skvr10115480,skvr10115530,skvr11104820,skvr11104830,skvr12111950,skvr12101840,skvr12101850,skvr12101860,skvr12101870,skvr12101880,skvr12101890,skvr12101900,skvr12101910,skvr12101920,skvr12101930,skvr12181010,skvr12181020,skvr12181030,skvr12181040,skvr13009070,skvr13009080,skvr13032270,skvr13032280,skvr13078930,skvr14100720
t010100_2560	Näätä ansassa	skvr07113050
t010200_0410	Niin sanoi Savon näkijä	skvr07118550,skvr12102590
t010200_0420	Noidan laulu	skvr12102720,skvr12102730,skvr12102740,skvr12181420,skvr12181430,skvr12181440
t010200_0430	Noidan louheen meno	skvr12181310,skvr12181320,skvr12181330,skvr12181340,skvr12181350,skvr12181360,skvr12181370,skvr12181380,skvr12181390,skvr12181400
t010200_0440	Noita nosti pahan	skvr12102750
t010200_0450	Noitien taistelu	skvr12102600,skvr12102610,skvr12102620,skvr12102630,skvr12102640,skvr12102650,skvr12102660,skvr12102670,skvr12102680,skvr12102690,skvr12102700,skvr12102710,skvr12181410
t010300_1390	Naalu katso kallivolta	skvr01120540
t010300_1400	Nahko naimahan meni	skvr10100830
t010300_1410	Neidot tahtovat ennustella sulhoja	skvr04106150
t010300_1420	Neidot tappavat ja hautaavat nännät	skvr04115330,skvr04134650
t010300_1430	Nouse, kuoma, kosinolta	skvr01120560
t010300_1440	Nuijan Tepon tyttö	skvr04101220
t010300_1450	Nuoremmalle mennyt	skvr07114640
t010300_1460	Nuori kalastaja	skvr13014570,skvr13081790,skvr13081800,skvr13081810
t020100_1610	Nuorena aika laulaa	skvr02104000,skvr02104140,skvr02104150,skvr03110130,skvr03110140,skvr03110150,skvr03102870,skvr03102970,skvr03103880,skvr03104950,skvr03100860,skvr03109040,skvr03100940,skvr03115450,skvr03115460,skvr03115490,skvr03121540,skvr03121700,skvr03125310,skvr03126470,skvr03126660,skvr03128770,skvr03131810,skvr03132860,skvr03133520,skvr03139520,skvr03139850,skvr03140960,skvr03141550,skvr03142430,skvr04110350,skvr04110430,skvr04110740,skvr04100130,skvr04106080,skvr04117740,skvr04123420,skvr04124750,skvr04125780,skvr04131420,skvr04131780,skvr04136460,skvr04138000,skvr04139100,skvr04141080,skvr05201630,skvr05219800,skvr05220550,skvr05202060,skvr05202110,skvr05202120,skvr05222940,skvr05222970,skvr05224230,skvr05203690,skvr05200910,skvr05200920,skvr05200951,skvr05200960,skvr05200970,skvr05200990,skvr05303331,skvr05303330,skvr05304240,skvr07115650,skvr07116380,skvr07118740,skvr13016760,skvr13016770,skvr13016780,skvr13016790,skvr13016800,skvr13016810,skvr13016820,skvr13016900,skvr13017440,skvr13017450,skvr13018780,skvr13021470,skvr13024930,skvr13026050,skvr13070800,skvr13076740,skvr15112260,skvr15112300
t020100_1620	Nyt on tyynet nurmen nurkat	skvr03110540,skvr03110570,skvr03110580,skvr03110590,skvr03110600,skvr03101630,skvr03118100,skvr03133650,skvr03137400,skvr03137950
t020100_1630	Näin ennen eukko, isä lauloi	skvr01112730,skvr01112740,skvr01112750,skvr01112760,skvr01112791,skvr01112790,skvr01112860,skvr01112870,skvr01112880,skvr01112920,skvr01113000,skvr01113030,skvr01113040,skvr01113080,skvr01113110,skvr01113500,skvr01211110,skvr01211481,skvr01214770,skvr01218560,skvr01222160,skvr02102180,skvr02104120,skvr02104130,skvr04108720,skvr09200270,skvr09203600,skvr09400190,skvr09405180,skvr05216060,skvr06105070,skvr06105080,skvr06105180,skvr06148370,skvr06165100,skvr07114820,skvr07116540,skvr07116570,skvr07116580,skvr12103371,skvr12103370,skvr12135930,skvr12142181,skvr12145820,skvr12149740,skvr13026180,skvr13091330,skvr13105480,skvr15100980
t020100_1640	Näin lauloi Larin Paraske	skvr05210620,skvr05215920,skvr05203050,skvr05203060,skvr13016980,skvr13017400,skvr13001870,skvr13001890,skvr13027350,skvr13027470,skvr13039580,skvr13081930,skvr13105840,skvr13105850,skvr13105860,skvr13105870
t020201_0630	Niin on miulla mieli musta	skvr05205590,skvr05205790,skvr05205800,skvr05303901,skvr05303900,skvr05304891,skvr05304890,skvr07122110
t020201_0640	Niin on valkia osani	skvr07121040
t020202_0390	Niin minut isoni heitti kuin kieron kirvesvarren	skvr01113690,skvr04134300,skvr09200240,skvr05223010,skvr05203370,skvr05203380,skvr05204160,skvr05204830,skvr05205170,skvr05206420,skvr05207381,skvr05305000,skvr06106390,skvr06106420,skvr07117350,skvr07117710,skvr07117760,skvr07118391,skvr07118390,skvr07118430,skvr07120930,skvr07120941,skvr07120950,skvr07120960,skvr07120970,skvr07120980,skvr07121900,skvr07122220,skvr13021380,skvr13021420
t020202_0400	Niin on pitkät pihani kuin pilven rannat	skvr07117450,skvr07118950,skvr07119640,skvr07119650,skvr07119670,skvr07119710,skvr07121050,skvr07121060,skvr07122700,skvr13020710,skvr13020720
