t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t020100_0120	Ei minun laulella pitäis	skvr03101190,skvr03101440,skvr03101690,skvr03103700,skvr03104940,skvr03100950,skvr03114570,skvr03114610,skvr03118070,skvr03122420,skvr03137340,skvr04113330,skvr04102780,skvr04106360,skvr04106650,skvr04108560,skvr04121720,skvr04121780,skvr04121870,skvr04122460,skvr04128810,skvr04131420,skvr04132980,skvr04132990,skvr04133030,skvr04133110,skvr04133810,skvr05107210,skvr05201490,skvr05201630,skvr05201660,skvr05223980,skvr05202790,skvr05202880,skvr05200300,skvr05200320,skvr05200330,skvr05200350,skvr05204930,skvr05205210,skvr05205450,skvr05205920,skvr05200090,skvr13015870,skvr13015880,skvr13017210,skvr13019410,skvr13019770,skvr13004940,skvr13105500,skvr13105650,skvr13121560,skvr15112100,skvr15109530
t020100_0130	Ei ne laula kaikki lapset	skvr05201680,skvr05202200,skvr05202210,skvr05303170,skvr05303181,skvr05303180,skvr05303260,skvr07115090,skvr07115150,skvr12103200,skvr12103230
t020100_0140	Ei ole alottajaista, kun en ruvenne	skvr01210951,skvr01203830,skvr03110160,skvr03110190,skvr03102610,skvr03108630,skvr03114540,skvr03115910,skvr03124330,skvr03127990,skvr03133830,skvr03141260,skvr04110270,skvr04101060,skvr04104480,skvr04100590,skvr04106040,skvr04109990,skvr04115830,skvr04117510,skvr04129270,skvr04130000,skvr04131410,skvr04131990,skvr04134420,skvr04134760,skvr04135070,skvr04141080,skvr04141110,skvr05210480,skvr05200120,skvr05200600,skvr05302830,skvr06105010,skvr13015410,skvr13015470,skvr13015480,skvr13015500,skvr13018200,skvr13018210,skvr13049150,skvr13070790,skvr13124680
t020100_0150	Ei ole laulaja jolta ei tuiska tulta suusta	skvr03110370,skvr03101570,skvr03101580,skvr03103460,skvr03103500,skvr03114270,skvr03115780,skvr03118280,skvr03118340,skvr03137460,skvr04106410,skvr07114910,skvr13001300,skvr13018200,skvr13018210,skvr13018250,skvr13018890,skvr13029530
t020100_0160	Ei ole suuni sulkijaa	skvr05102830,skvr05201470,skvr05207370,skvr13015440,skvr13018340,skvr13081320
t020100_0170	Ei ole virsissä voittajaa	skvr05201470,skvr05202390,skvr13015450,skvr13017980,skvr13018230,skvr13018240,skvr13018250,skvr13018890,skvr13003080,skvr13040550,skvr13047260
t020100_0180	Ei pilli perettä syötä	skvr03111000,skvr03135170,skvr04104650,skvr04134430,skvr05210480,skvr05212250,skvr05221400,skvr05302621,skvr05302620,skvr05302630,skvr13015680,skvr13015780,skvr13015990,skvr13017940,skvr13018940,skvr13085840
t020100_0190	Ei sanat puhellen puutu	skvr01112760,skvr01112900,skvr01218560,skvr05101850,skvr05212710,skvr05201610,skvr05223340,skvr05202880,skvr05203410,skvr05200420,skvr05302960,skvr05302970,skvr05302980,skvr05302991,skvr05302990,skvr05303000,skvr05303720,skvr05303750,skvr07115280,skvr07115290,skvr07115300,skvr07115490,skvr13010910,skvr13018260,skvr13019090,skvr13047180,skvr13047270,skvr13106140
t020100_0200	Eivät tässä laudat laula	skvr01100100,skvr01108490,skvr01113050,skvr01113090,skvr01113100,skvr01113230,skvr01113300,skvr01113380,skvr01113400,skvr01113410,skvr01212500,skvr02103920,skvr03116700,skvr03116710,skvr03128450,skvr03132800,skvr04109990,skvr04115830,skvr04126770,skvr04131070,skvr05216570,skvr05201770,skvr05219080,skvr05219750,skvr05219760,skvr05200200,skvr05200210,skvr05200220,skvr05200230,skvr05200240,skvr05200250,skvr05302640,skvr05302650,skvr05302660,skvr05302670,skvr07114860,skvr07114920,skvr07125760,skvr07125790,skvr13015690,skvr13015700,skvr13015710,skvr13015720,skvr13018530,skvr13047200,skvr13076740,skvr13076750,skvr13076760,skvr13105510,skvr13105520,skvr13105530,skvr13105540,skvr13105550,skvr13105560,skvr15111870,skvr15111880
t020100_0210	Elä, lapsi, paljon laula	skvr03128310,skvr03132970,skvr04102840,skvr05203030,skvr06165170,skvr07114930,skvr07114940,skvr07114950,skvr07114960,skvr13015730,skvr13080460
