t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t020202_0030	Ei ne kasva kaikki lapset - kuin putki puuta vasten	skvr02104240,skvr02104250,skvr02105020,skvr03108510,skvr03108870,skvr03127570,skvr03134640,skvr03139060,skvr04110340,skvr04101050,skvr04111280,skvr04113710,skvr04113790,skvr04114890,skvr04108990,skvr04109260,skvr04109440,skvr04109980,skvr04116160,skvr04116910,skvr04116960,skvr04117240,skvr04117580,skvr04121680,skvr04121720,skvr04122090,skvr04123760,skvr04127730,skvr04131360,skvr04131930,skvr04135690,skvr05210960,skvr05212190,skvr05222850,skvr05203910,skvr05204501,skvr05204500,skvr05204510,skvr05204521,skvr05204520,skvr05204530,skvr05204670,skvr05205190,skvr05206170,skvr05312180,skvr05312200,skvr05312220,skvr06101990,skvr06105570,skvr06105580,skvr06106200,skvr07117660,skvr07117771,skvr07119170,skvr07121030,skvr07121420,skvr07121660,skvr07121680,skvr07121770,skvr07121800,skvr07121810,skvr07121850,skvr07121900,skvr07124540,skvr07125360,skvr12103430,skvr13011790,skvr13019640,skvr13020150,skvr13021100,skvr13021120,skvr13021130,skvr13021140,skvr13021150,skvr13021160,skvr13021170,skvr13021180,skvr13021190,skvr13021200,skvr13021210,skvr13021220,skvr13021230,skvr13021460,skvr13029760,skvr13081020,skvr13106950,skvr15112150
t020202_0040	Ei ole ison kotia, peltoja	skvr05305130,skvr06106800,skvr06106830,skvr06107260,skvr07118010,skvr13033430,skvr13033580
t020202_0050	Ei ole suojoa sijoa eikä tyyntä valkamoa	skvr01113950,skvr01114130,skvr01114150,skvr12102030
t020202_0060	Ei ole tulusta tulta ottaa	skvr01100890,skvr01113890,skvr06141930,skvr07103630,skvr07130780
t020202_0070	Ei ollut sitä jokea josta en vettä juonut	skvr03105180,skvr03113680,skvr03115090,skvr03115390,skvr03141520,skvr04119200,skvr04119850,skvr04121430,skvr04125220,skvr04140020,skvr07117620,skvr15112150
t020202_0080	Emo erotti muista lapsista	skvr01113780,skvr01114250,skvr03110350,skvr03101950,skvr03100430,skvr03108670,skvr03108690,skvr03109520,skvr03113680,skvr03115250,skvr03115270,skvr03115320,skvr03115360,skvr03115480,skvr03118280,skvr03118340,skvr03118350,skvr03120720,skvr03126200,skvr03126810,skvr03126970,skvr03127560,skvr03128000,skvr03129560,skvr03129710,skvr03131560,skvr03131700,skvr03132780,skvr03133070,skvr03134580,skvr03135220,skvr03141450,skvr04110400,skvr04114770,skvr04106570,skvr04108210,skvr04109590,skvr04109670,skvr04109970,skvr04121430,skvr04121450,skvr04121480,skvr04121490,skvr04121530,skvr04121970,skvr04123690,skvr04123760,skvr04126310,skvr04126840,skvr04127240,skvr04127680,skvr04128160,skvr04128290,skvr04128650,skvr04131130,skvr04133030,skvr04135440,skvr04135930,skvr04136800,skvr04136840,skvr04137060,skvr04137090,skvr04138680,skvr05101910,skvr05107160,skvr05107650,skvr05210240,skvr05212430,skvr05203290,skvr05203450,skvr05203460,skvr05203470,skvr05203580,skvr05203630,skvr05203640,skvr05203840,skvr05206550,skvr05206581,skvr05206580,skvr05206600,skvr05206610,skvr05206630,skvr05206640,skvr05207680,skvr05207750,skvr05307080,skvr05307090,skvr07120920,skvr07120960,skvr07122220,skvr07122230,skvr13020320,skvr13020720,skvr13020950,skvr13021120,skvr13021850,skvr13022620,skvr13022640,skvr13023010,skvr13023490,skvr13023520,skvr13023530,skvr13023540,skvr13023560,skvr13023571,skvr13023570,skvr13023580,skvr13023590,skvr13024590,skvr13003200,skvr13034250,skvr13034260,skvr13056740,skvr13081020,skvr13081030,skvr13106370,skvr13106380,skvr13107200,skvr15112160,skvr15112170
t020202_0090	Emo jätti kiuruksi kivelle	skvr03101270,skvr03102970,skvr03105180,skvr03100050,skvr03108300,skvr03108320,skvr03114980,skvr03114990,skvr03115020,skvr03118080,skvr03122940,skvr03126000,skvr03127210,skvr03129390,skvr03129950,skvr03134640,skvr03136150,skvr03136290,skvr03140430,skvr03140960,skvr04110470,skvr04101180,skvr04113350,skvr04113710,skvr04114960,skvr04101630,skvr04103100,skvr04103580,skvr04104490,skvr04109450,skvr04109590,skvr04109660,skvr04115810,skvr04116210,skvr04116910,skvr04121510,skvr04121520,skvr04121580,skvr04121610,skvr04121720,skvr04122120,skvr04123740,skvr04124650,skvr04127730,skvr04131360,skvr04132170,skvr04132290,skvr04133330,skvr04133720,skvr04134980,skvr04138140,skvr04139090,skvr04140010,skvr04140590,skvr15112400,skvr15112770,skvr15113220
t020202_0100	Emo jätti kuin jänön pojan	skvr01106940,skvr01100810,skvr01113670,skvr01113700,skvr01113710,skvr01113770,skvr01113780,skvr03101270,skvr03101440,skvr03102970,skvr03100050,skvr03108300,skvr03108320,skvr03114990,skvr03118080,skvr03120470,skvr03122940,skvr03126000,skvr03129950,skvr03131690,skvr03134640,skvr03135060,skvr03136290,skvr03137060,skvr03140430,skvr03140960,skvr04101180,skvr04113350,skvr04113710,skvr04114580,skvr04101630,skvr04108180,skvr04116890,skvr04121510,skvr04121590,skvr04121650,skvr04121680,skvr04121710,skvr04121720,skvr04124650,skvr04125270,skvr04125450,skvr04131700,skvr04131930,skvr04134980,skvr04136210,skvr04139090,skvr04140010,skvr04140590,skvr05113190,skvr05201250,skvr05216540,skvr05203370,skvr05204140,skvr05204160,skvr05204760,skvr05207381,skvr05305021,skvr05305020,skvr06106420,skvr07117750,skvr12145290,skvr13019950,skvr13021380,skvr13021390,skvr13021410,skvr13021430,skvr13021440,skvr13021530,skvr15112400,skvr15112770,skvr15113220,skvr15113290,skvr15104390
t020202_0110	Emo, tee parempi paita - mieli muille maille	skvr03110840,skvr03110850,skvr03111250,skvr03101340,skvr03102820,skvr03116020,skvr03116160,skvr03121810,skvr03127740,skvr03129130,skvr03129250,skvr03138300,skvr03138950,skvr03141350,skvr03142320,skvr04110520,skvr04112250,skvr04113010,skvr04101460,skvr04100440,skvr04119350,skvr04139560,skvr05212240,skvr05212440,skvr05212470,skvr05200030,skvr06171420,skvr07120420,skvr07124170,skvr13025570,skvr13027940,skvr13027950,skvr13027980,skvr13027990,skvr13028040,skvr13028790,skvr15104580,skvr15108320
t020202_0120	En itke ison hyvyyttä	skvr03104950,skvr03141590,skvr04102720,skvr04103070,skvr04133050,skvr05211610,skvr05215611,skvr05205160,skvr05209410,skvr05311100,skvr05303350,skvr07117620,skvr07118330,skvr07118340,skvr07118350,skvr07118370,skvr07118380,skvr07118391,skvr07118390,skvr07118520,skvr07118740,skvr07118960,skvr07119170,skvr07119180,skvr07119230,skvr07119250,skvr07121120,skvr07124910,skvr07125190,skvr07125200,skvr13020730,skvr13021660,skvr13021670,skvr13021680,skvr13021690,skvr13081030
t020202_0130	En tohi tupahan mennä - vieraan tekemä	skvr04108180,skvr07114290,skvr07114300,skvr07118750,skvr07118770,skvr07119200,skvr07119570,skvr07119660,skvr07119880,skvr07120840,skvr07121090,skvr07124960,skvr13021350,skvr13033400
t020203_0030	Ei minun laulella pitäisi - kullan, emon kuolettelin	skvr03110300,skvr03101150,skvr03101170,skvr03105800,skvr03100800,skvr03108520,skvr03108580,skvr03108630,skvr03114490,skvr03114550,skvr03114560,skvr03114580,skvr03114980,skvr03118430,skvr03120330,skvr03128100,skvr03128910,skvr03128990,skvr03129660,skvr03132080,skvr03133830,skvr03136270,skvr03136320,skvr03141510,skvr03141660,skvr04110000,skvr04110010,skvr04110400,skvr04110780,skvr04110830,skvr04113050,skvr04102560,skvr04103810,skvr04105910,skvr04107600,skvr04108050,skvr04109590,skvr04121130,skvr04121500,skvr04121690,skvr04121730,skvr04121740,skvr04121790,skvr04126190,skvr04130130,skvr04133010,skvr04133080,skvr04133800,skvr04134020,skvr04135150,skvr04135350,skvr04135410,skvr04137110,skvr05224160,skvr05200280,skvr05204590,skvr05204690,skvr05204700,skvr05205360,skvr05206070,skvr05200830,skvr05304770,skvr05308241,skvr05308240,skvr13015651,skvr13021510,skvr13022110,skvr13022620,skvr13028860,skvr13032600,skvr13070770,skvr13079880,skvr15112840,skvr15113360,skvr15113370,skvr15113380,skvr15113390,skvr15113400,skvr15113410
t020203_0040	Ei nyt äiti ääntä kuule	skvr01113580,skvr03108560,skvr03108660,skvr04111850,skvr04109450,skvr04123660,skvr04124870,skvr05108900,skvr05210940,skvr05216050,skvr05223010,skvr05203180,skvr05203240,skvr05203250,skvr05304380,skvr05304391,skvr05304390,skvr05304400,skvr07117740,skvr07120720,skvr13011690,skvr13015640,skvr13020720,skvr13021460,skvr13021490,skvr13021510,skvr13021860,skvr13027730,skvr13030640,skvr13032820,skvr13079880,skvr13079900,skvr13106780,skvr13106800
t020203_0050	Ei ole hullun kieltäjätä	skvr03101720,skvr03102960,skvr03102970,skvr03105260,skvr03105550,skvr03108500,skvr03112730,skvr03114120,skvr03114470,skvr03114520,skvr03114540,skvr03114590,skvr03115000,skvr03115320,skvr03126110,skvr03128310,skvr03132080,skvr03134760,skvr03135280,skvr03136200,skvr03139790,skvr03140650,skvr03140960,skvr04103860,skvr04107320,skvr04108060,skvr04109120,skvr04115090,skvr04115760,skvr04126300,skvr04126620,skvr04127720,skvr04128020,skvr04132490,skvr04136440,skvr09200230,skvr05201010,skvr05201610,skvr05224430,skvr05202870,skvr05202940,skvr05203370,skvr05204680,skvr05200520,skvr05200640,skvr05302861,skvr05302860,skvr05303780,skvr05303791,skvr05303790,skvr05304391,skvr05304390,skvr07124530,skvr07127730,skvr13015640,skvr13015651,skvr13015650,skvr13015660,skvr13015670,skvr13016060,skvr13016270,skvr13016640,skvr13016830,skvr13021550,skvr13022450,skvr13025890,skvr13026140,skvr13047200,skvr13124970,skvr15112660,skvr15113340
t020203_0060	Ei ole minulla niin kuin muilla isoa, emoa	skvr03112320,skvr03101440,skvr03101960,skvr03103900,skvr03108200,skvr03108510,skvr03108710,skvr03108810,skvr03108820,skvr03109490,skvr03114550,skvr03114980,skvr03115000,skvr03115040,skvr03115070,skvr03115240,skvr03118490,skvr03120640,skvr03124190,skvr03125340,skvr03126390,skvr03132470,skvr03134690,skvr03136500,skvr03137060,skvr03140130,skvr03141760,skvr04110150,skvr04110180,skvr04110460,skvr04113350,skvr04113710,skvr04113880,skvr04103030,skvr04107750,skvr04107840,skvr04108050,skvr04108060,skvr04108280,skvr04108800,skvr04109010,skvr04109060,skvr04109450,skvr04109460,skvr04109930,skvr04116890,skvr04117050,skvr04121440,skvr04121480,skvr04121500,skvr04121520,skvr04121670,skvr04122460,skvr04123650,skvr04123700,skvr04125460,skvr04131450,skvr04132110,skvr04132150,skvr04132880,skvr04132900,skvr04133560,skvr04134370,skvr04134750,skvr04135410,skvr04135430,skvr04138140,skvr04138640,skvr04139460,skvr05107410,skvr05201250,skvr05223010,skvr05204671,skvr05205860,skvr05207280,skvr05207310,skvr05304741,skvr05304740,skvr05304871,skvr05304870,skvr05304891,skvr05304890,skvr07120680,skvr07124960,skvr10101580,skvr13019250,skvr13019950,skvr13021240,skvr13021250,skvr13021260,skvr13021500,skvr13021580,skvr13021630,skvr13022180,skvr13022940,skvr13023150,skvr13004940,skvr13026940,skvr13081420,skvr15110980,skvr15112400,skvr15112770,skvr15112790,skvr15113350
t020203_0070	Ei ole orrella osaista	skvr01120780,skvr05208900,skvr05304901,skvr05304900
t020203_0080	Ei se mitään tiedä, ken elää isän kotona	skvr13021130
t020203_0090	Ei se surma suorin tehnyt	skvr01120920,skvr03101090,skvr03108470,skvr03114620,skvr03114850,skvr03114990,skvr03115040,skvr03136300,skvr04111050,skvr04111070,skvr04102540,skvr04102720,skvr04108850,skvr04116910,skvr04117700,skvr04121740,skvr04123370,skvr04124460,skvr04126190,skvr04133080,skvr04136830,skvr05202880,skvr05203230,skvr05205700,skvr05205820,skvr05205830,skvr05205840,skvr05205850,skvr05205860,skvr05205870,skvr05205880,skvr05205890,skvr05205900,skvr05205910,skvr05206140,skvr05206200,skvr05206250,skvr05206340,skvr05207310,skvr05304200,skvr05304360,skvr05304370,skvr07117740,skvr13001170,skvr13012240,skvr13020810,skvr13020820,skvr13021270,skvr13021280,skvr13021290,skvr13021300,skvr13021310,skvr13021320,skvr13021330,skvr13021340,skvr13022430,skvr13022440,skvr13022450,skvr13022460,skvr13022470,skvr13022480,skvr13022490,skvr13022500,skvr13022680,skvr13005240,skvr13054200,skvr13054440,skvr13054640,skvr13058710,skvr13106740,skvr13106750,skvr13106760,skvr15113220,skvr15113230,skvr15113330
t020203_0100	Ei tiedä emoton lapsi emollisen einehiä	skvr01102340,skvr01113560
t020203_0110	Eksyvät emollisetkin	skvr05304881,skvr05304880
t020203_0120	Emo kuollut, isä tuo uuden	skvr03101270,skvr03108480,skvr03114990,skvr03120470,skvr03121210,skvr03122480,skvr03128040,skvr03136560,skvr04106560,skvr04121660,skvr04123660,skvr04124650,skvr04126610,skvr04127250,skvr04127730,skvr04131450,skvr04132110,skvr04132970,skvr04134370,skvr04138760,skvr04139430,skvr05103740,skvr05106800,skvr05203130,skvr05203160,skvr05203780,skvr05203940,skvr05204120,skvr05204151,skvr05204150,skvr05204261,skvr05204500,skvr05204580,skvr05204670,skvr05204730,skvr13021600,skvr13021610,skvr13022190,skvr13022200,skvr13022230,skvr13000320,skvr13009370,skvr15113220,skvr15113240,skvr15113250,skvr15113260,skvr15113270
t020203_0130	Emo kuollut kuusi vuotta	skvr01113900,skvr03110300,skvr03108510,skvr03108560,skvr03108810,skvr03108820,skvr03115080,skvr03115170,skvr03116680,skvr03118570,skvr03120640,skvr03122480,skvr03124280,skvr03125340,skvr03126390,skvr03126660,skvr03127780,skvr03128380,skvr03129910,skvr03132270,skvr03134560,skvr04103200,skvr04137350,skvr05107450,skvr05211870,skvr05219820,skvr05203240,skvr05204240,skvr05204450,skvr05304380,skvr05304391,skvr05304390,skvr05304400,skvr05304851,skvr05304850,skvr13016060,skvr13021310,skvr13021500,skvr13021580,skvr13035450,skvr13041300,skvr15113340
t020203_0140	Emo on sydämellä syödessäkin	skvr03108510,skvr03108810,skvr03108820,skvr03115080,skvr03115170,skvr03124190,skvr03124280,skvr03126660,skvr03128380,skvr03129910,skvr03132190,skvr03138640
t020203_0150	Emojain on miun ikävä	skvr05212360,skvr05204560,skvr05205240,skvr13021590,skvr13032910
t020203_0160	Emolleen muut eränsä	skvr15104430
t020203_0170	Emon eläissä kävin kukkana kujalla	skvr05203780,skvr05204830,skvr05209420,skvr13108250
t020203_0180	Emon, ison haudalla	skvr02102660,skvr02102670,skvr02104200,skvr03107780,skvr03108450,skvr03108470,skvr03108480,skvr03120300,skvr03120330,skvr03120470,skvr03121590,skvr03122480,skvr03123980,skvr03124110,skvr03124190,skvr03124340,skvr03126650,skvr03127730,skvr03128040,skvr03129040,skvr03129810,skvr03129830,skvr03131850,skvr03136230,skvr04110210,skvr04110780,skvr04103030,skvr04103100,skvr04105010,skvr04106560,skvr04107300,skvr04109010,skvr04116490,skvr04116910,skvr04121660,skvr04123370,skvr04123660,skvr04123670,skvr04124650,skvr04125460,skvr04125600,skvr04126560,skvr04126610,skvr04127250,skvr04127560,skvr04127730,skvr04127880,skvr04128020,skvr04128640,skvr04131450,skvr04132110,skvr04132170,skvr04132970,skvr04134370,skvr04135150,skvr04135370,skvr04135410,skvr04135860,skvr04138640,skvr04138760,skvr04139090,skvr04139200,skvr04139430,skvr04145900,skvr05203130,skvr05203140,skvr05203160,skvr05203200,skvr05203210,skvr05203220,skvr05203230,skvr05203260,skvr05204090,skvr05204100,skvr05204120,skvr05204130,skvr05204151,skvr05204150,skvr05204170,skvr05204180,skvr05204210,skvr05204220,skvr05204250,skvr05204261,skvr05204550,skvr05204670,skvr05204810,skvr05304971,skvr05304970,skvr05304991,skvr05304990,skvr05308181,skvr05308180,skvr13021450,skvr13021460,skvr13021470,skvr13021520,skvr13021530,skvr13021540,skvr13021570,skvr13021600,skvr13021610,skvr13000320,skvr13000490,skvr13009370,skvr13032840,skvr13106810,skvr13107050,skvr15113220,skvr15113230,skvr15113240,skvr15113250,skvr15113260,skvr15113270,skvr15113310
t020203_0190	En ole emoa, isoa nähnyt, kun kirstu kiinni pantu	skvr03108540,skvr03137660,skvr04110210,skvr04103200,skvr04109590,skvr04116540,skvr04121730,skvr04125600,skvr05111950,skvr05216000,skvr05203170,skvr05203290,skvr05204080,skvr05204121,skvr05204151,skvr05204260,skvr05204560,skvr05204610,skvr05204681,skvr05204810,skvr05200830,skvr05304410,skvr05304420,skvr07118980,skvr07119540,skvr07122150,skvr13015640,skvr13020760,skvr13021390,skvr13021450,skvr13021500,skvr13021530,skvr13021540,skvr13021560,skvr13021580,skvr13021620,skvr13022520,skvr13022670,skvr13023120,skvr13000320,skvr13000550,skvr13041300,skvr13077030,skvr13079880,skvr13106780,skvr13107050
t020203_0200	En olt luona luopuessa	skvr05107450,skvr13005250,skvr13032390
t020203_0210	En oo sitte kyllin syönyt, kuin emosen syöttäissä	skvr04107260,skvr04109590,skvr04132170,skvr04134370,skvr04135370,skvr04135410,skvr05304410,skvr07117550,skvr07118560,skvr07118570,skvr13043940
t020203_0220	Etähällä emoni	skvr03103680,skvr03105100,skvr03100670,skvr03108350,skvr03108660,skvr03108720,skvr03112790,skvr03114470,skvr03114980,skvr03115070,skvr03118070,skvr03123170,skvr03126390,skvr03127490,skvr03129310,skvr03129940,skvr04110240,skvr04114970,skvr04121130,skvr04121520,skvr04121650,skvr04121670,skvr04121710,skvr04121910,skvr04124650,skvr04124870,skvr04125460,skvr04130670,skvr04131700,skvr04135440,skvr04140590,skvr04141170,skvr05205210,skvr13021460,skvr13023100,skvr13035450,skvr13053390,skvr13079880,skvr15113350,skvr15108480
t020204_0010	Enpä toivo tuon tulevan	skvr07127620,skvr15104920
t020300_0020	Ei lihota vieras leipä	skvr03101130,skvr03104180,skvr03115040,skvr03115230,skvr03115240,skvr03115300,skvr03124090,skvr03125280,skvr03126890,skvr03127610,skvr03128810,skvr03129370,skvr03129640,skvr03131610,skvr03135710,skvr03136130,skvr03137870,skvr03140220,skvr03142540,skvr04110430,skvr15112400,skvr15112440
t020300_0030	Ei uskottu uupuvani	skvr07118540,skvr07122550,skvr13021360,skvr13021370
t020300_0040	Emo pani piennä piikuveen	skvr03101940,skvr03104630,skvr03105540,skvr03105610,skvr03109420,skvr03109490,skvr03109500,skvr03109510,skvr03109580,skvr03115240,skvr03115280,skvr03115310,skvr03115350,skvr03118120,skvr03124010,skvr03124110,skvr03124350,skvr03125700,skvr03125990,skvr03126150,skvr03126270,skvr03126510,skvr03126620,skvr03126820,skvr03127640,skvr03128000,skvr03128530,skvr03131470,skvr03131710,skvr03131950,skvr03132100,skvr03132750,skvr03134570,skvr03134600,skvr03134620,skvr03134630,skvr03134640,skvr03136680,skvr03137090,skvr03137600,skvr04110200,skvr04110230,skvr04103140,skvr04104090,skvr04121960,skvr04122100,skvr04124870,skvr04128050,skvr04128540,skvr04136740,skvr05100450,skvr05100460,skvr05100470,skvr05224400,skvr05303350,skvr05307121,skvr05307120,skvr13021510,skvr13023571,skvr13077520,skvr15112400,skvr15112410,skvr15112420,skvr15112430,skvr15112440,skvr15112460,skvr15112470,skvr15112480,skvr15112490
t020300_0050	Emännän kolme kieltä	skvr03110350,skvr03101950,skvr03100430,skvr03108670,skvr03108690,skvr03109520,skvr03114460,skvr03115250,skvr03115270,skvr03115320,skvr03115360,skvr03115480,skvr03118280,skvr03118340,skvr03120720,skvr03126200,skvr03126530,skvr03126810,skvr03126970,skvr03127560,skvr03128000,skvr03129710,skvr03131560,skvr03131700,skvr03133070,skvr03134580,skvr03134640,skvr03135220,skvr03141450,skvr04101210,skvr04102750,skvr04106570,skvr04107760,skvr04109670,skvr04121410,skvr04121480,skvr04121530,skvr04121970,skvr04122090,skvr04126310,skvr04126840,skvr04127240,skvr04127680,skvr04128160,skvr04128650,skvr04129820,skvr04132870,skvr04138680,skvr04139500,skvr05107160,skvr05210240,skvr05203520,skvr05203530,skvr05203550,skvr05203560,skvr05203640,skvr05206570,skvr05206581,skvr05206580,skvr05206590,skvr05206600,skvr05206610,skvr05206620,skvr05206630,skvr05206640,skvr05304690,skvr05305250,skvr05305260,skvr06105710,skvr06105720,skvr06105730,skvr07114040,skvr07122240,skvr07122260,skvr07122280,skvr07122290,skvr07122300,skvr07124320,skvr13001140,skvr13015960,skvr13020140,skvr13021450,skvr13022650,skvr13023490,skvr13023500,skvr13023530,skvr13023540,skvr13023550,skvr13023571,skvr13106770,skvr13107320,skvr15112160,skvr15112480
t020300_0060	Emäntäni - kun nälkäni näkisit	skvr01114820,skvr01114830,skvr02101730,skvr02101751,skvr09102320,skvr09102360,skvr09102370,skvr09204370,skvr06102750,skvr06127830,skvr06108830,skvr06108840,skvr06108850,skvr07126730,skvr07126740,skvr07126750,skvr07128311,skvr07132300,skvr07233670,skvr07300150,skvr10102240,skvr12104010,skvr12104030,skvr12104040,skvr12104060
t020300_0070	Emäntäni - tee mulle kakkarainen	skvr06169870,skvr06169880,skvr06169900,skvr07116660,skvr07126750,skvr07132290,skvr07132300,skvr07251730,skvr07251740,skvr13062640,skvr13126650
t020300_0080	En sure susia, sotakesiä - suren suurta kattilaa	skvr04114840,skvr04105420,skvr05222450,skvr05311570,skvr07118370,skvr07119120,skvr07122060,skvr07122070,skvr07122080,skvr07125620,skvr07131510,skvr13019630
t020300_0090	En tohdi kotiin mennä - lyödään	skvr03110190,skvr03109710,skvr03114890,skvr03115470,skvr03125620,skvr03132890,skvr03134640,skvr04118090,skvr04121600,skvr04121910,skvr05206450
t020300_0100	Ennen kotona kuin hovissa	skvr13081360
t020400_0040	Ei minussa viikoista vihanpitoa	skvr05222840,skvr13023610
t020400_0050	Ei ollut pääni polkijaa	skvr04108970,skvr05207180,skvr05207300,skvr13014750,skvr13014760,skvr13015440,skvr13018970,skvr13023060,skvr13026090,skvr13044870,skvr13081320
t020400_0060	Elköön minua vasten vitat viiassa yletkö	skvr07118260,skvr07118270,skvr07124680
t020400_0070	Elä leyhki, lepän lastu	skvr07125460
t020400_0080	En minä kulu kutsuissa	skvr07118500,skvr07119000,skvr07119780,skvr13027220
t020400_0090	En minä pannessa pahene enkä laihu laittaessa	skvr03133840,skvr04110690,skvr04107860,skvr04108060,skvr04108360,skvr04116740,skvr05224220,skvr05207210,skvr05208660,skvr05208760,skvr05305360
t020400_0100	En näkijälle kättä näytä	skvr07118550
t020400_0110	En ole vesi mutainen	skvr03102610,skvr07121650,skvr07125460,skvr13026090
t020500_0010	Ei antanut sydän emoni	skvr04106540,skvr04107380,skvr04108130,skvr04100910,skvr04109630,skvr04116760,skvr04121420,skvr04126230,skvr04131450,skvr04131700,skvr04133710,skvr04135490,skvr04136810,skvr04137080,skvr05304171,skvr05304170,skvr05304291,skvr05304290,skvr05304321,skvr05304320,skvr07120290,skvr07124260
t020500_0020	Ei ne vaali kaikki vaimot	skvr01110210,skvr03101710,skvr03101730,skvr03101750,skvr03105360,skvr03105940,skvr03108600,skvr03108910,skvr03114650,skvr03114660,skvr03114680,skvr03114820,skvr03114870,skvr03114910,skvr03115000,skvr03115010,skvr03115140,skvr03117960,skvr03119730,skvr03120960,skvr03124770,skvr03126990,skvr03131990,skvr03132610,skvr03134020,skvr03134530,skvr03135350,skvr03137700,skvr03139220,skvr03140190,skvr03142440,skvr03142570,skvr04110580,skvr04114770,skvr04108220,skvr04109220,skvr04115250,skvr04116320,skvr04117060,skvr04119740,skvr04121810,skvr04130340,skvr04146060,skvr04146280,skvr05113270,skvr05212130,skvr05212140,skvr05212150,skvr05212160,skvr05212170,skvr05212180,skvr05212190,skvr05212200,skvr05212210,skvr05212220,skvr05212230,skvr05212240,skvr05212250,skvr05212260,skvr05212270,skvr05212280,skvr05212290,skvr05212400,skvr05212630,skvr05212700,skvr05212830,skvr05212850,skvr05212860,skvr05212870,skvr05215050,skvr05215970,skvr05201680,skvr05217980,skvr05223030,skvr05224430,skvr05226740,skvr05203550,skvr05205660,skvr05208700,skvr05300131,skvr05300130,skvr05304021,skvr05304020,skvr05304201,skvr05304200,skvr05304300,skvr05304790,skvr05305180,skvr05307050,skvr05307131,skvr05307130,skvr05309181,skvr05309180,skvr13012090,skvr13015910,skvr13020020,skvr13020150,skvr13021140,skvr13003200,skvr13004530,skvr13000600,skvr13028600,skvr13031760,skvr13031770,skvr13031780,skvr13031790,skvr13031800,skvr13031810,skvr13031820,skvr13031830,skvr13031840,skvr13031850,skvr13031860,skvr13031870,skvr13031880,skvr13031890,skvr13032490,skvr13032780,skvr13041300,skvr13053740,skvr13081020,skvr13081030,skvr13108420,skvr13108430
t020500_0030	Ei tiedä tekijä vaimo, mikä lapsesta tulee	skvr04110440,skvr04116270,skvr04116280,skvr04117700,skvr05108350,skvr05210150,skvr05212310,skvr05222970,skvr05224370,skvr05301770,skvr05305180,skvr05306990,skvr06105600,skvr07118150,skvr07118160,skvr07118180,skvr07120630,skvr07121630,skvr13011360,skvr13015890,skvr13022140,skvr13022970,skvr13028110,skvr13031900,skvr13031910,skvr13031920,skvr13031930,skvr13031940,skvr13031950,skvr13031960,skvr13031970,skvr13041300,skvr13112890,skvr13112910
t020500_0040	Ei tiedä emo kussa lapsi lauleleepi	skvr03102470,skvr03105000,skvr03113920,skvr03113930,skvr03113940,skvr03114030,skvr03114040,skvr03122760,skvr04111740,skvr04111850,skvr04101180,skvr04113090,skvr04101460,skvr04109450,skvr04109940,skvr04137860,skvr04139170,skvr04139620,skvr05107620,skvr05108780,skvr05212100,skvr05212110,skvr05201720,skvr05218080,skvr05223030,skvr05204440,skvr05209270,skvr05306961,skvr05306960,skvr05306971,skvr05306970,skvr05306981,skvr05306980,skvr06101020,skvr06103960,skvr06100670,skvr06106840,skvr07113260,skvr07118140,skvr07118171,skvr07118170,skvr07124720,skvr13011860,skvr13021040,skvr13021060,skvr13021070,skvr13000310,skvr13009960,skvr13032010,skvr13032020,skvr13032030,skvr13032040,skvr13032050,skvr13032060,skvr13057300,skvr15109560,skvr15109570
t020500_0050	Eivät kasva kaikki lapset - kotona kiitettynä	skvr03100970,skvr03100980,skvr03114800,skvr03118370,skvr03127580,skvr03136080,skvr03136740,skvr03142230,skvr04121890,skvr04124940,skvr05113270,skvr05212180,skvr05205660,skvr05208410,skvr05208430,skvr05300131,skvr05300130,skvr07121630,skvr07121640,skvr13015910,skvr13020390,skvr13020430,skvr13021110,skvr13003200,skvr13032490,skvr13107460,skvr13108240,skvr13108260,skvr15112140
t020500_0060	Elätti emo minua - kantoi kakkuja	skvr13023600,skvr13056740
t020500_0070	Emo ja iso kielsivät torumasta	skvr04102580,skvr04106090,skvr04109310,skvr04116070,skvr04116580,skvr04117800,skvr04121680,skvr04123450,skvr04124750,skvr04129250,skvr04130520,skvr04131530,skvr04131990,skvr04135070,skvr04135140,skvr04136500,skvr05202720,skvr15110810
t020500_0080	Emo päästi (ei päästänyt) pääni pyörimään	skvr05212140,skvr05212190,skvr05304790,skvr13032510,skvr13032620,skvr13106310,skvr13108430,skvr13108490
t020500_0090	Emo synnytti minua, mie syäntä, kassaa	skvr04110580,skvr04136410,skvr05113190,skvr05108720,skvr05219920,skvr05206870,skvr05206880,skvr05208400,skvr05209230,skvr13020390,skvr13024720,skvr13000020,skvr13071620
t020500_0100	Emo teki kolme työtä kerrallansa	skvr03101720,skvr03101730,skvr03108620,skvr03108910,skvr03117960,skvr03128140,skvr03129920,skvr03132980,skvr03135350,skvr03137700,skvr03139220,skvr04141250,skvr05212620,skvr05312250,skvr13000170,skvr13026950,skvr13026960,skvr13026970,skvr13026980,skvr13026990,skvr13027000,skvr13027010,skvr13027020,skvr13050900,skvr13056630,skvr13108450
