t050100_5290	Ukko, akka, sammaltakka, voivakka	skvr06123330,skvr06123340,skvr07144070,skvr07144080
t050100_5300	Ukko ja elivät	skvr02113210
t050100_5310	Ukko nukkuu uunilla	skvr11103980
t050300_2070	Ukko	skvr06104950
t050300_2080	Ulla	skvr13123660
t050300_2090	Uoti (Uotti)	skvr08143290,skvr10119110
t050300_2100	Uula	skvr07300190
t050400_1940	Ukko, akka, sammaltakka	skvr12130720,skvr12130730,skvr12130740
t050400_1950	Ukko meni uunin päälle	skvr06125620
t050400_1960	Ukko putos uunin päältä	skvr11104370,skvr12130750
t050400_1970	Uppen, puppen	skvr12130760,skvr12130770,skvr12130780,skvr12130790
t050400_1980	Uulan tuulan	skvr07141730,skvr07141740,skvr07141750,skvr12121560,skvr12130800,skvr12130810,skvr12130820,skvr12130830,skvr12183580
t050500_0780	Ukko nurkasta nurkkaan	skvr05310020,skvr05310710,skvr13073660,skvr13107840,skvr13124780,skvr13124830
t050500_0790	Ukkokämppäsillä	skvr06125370,skvr06125380,skvr06125390,skvr06125400,skvr06125410,skvr06125420,skvr06125430,skvr06125440,skvr06125450,skvr06125480,skvr06170950,skvr12122510,skvr12122520,skvr12122530,skvr12122540,skvr12122550,skvr12122560,skvr12122570,skvr12122580,skvr12122591,skvr12122590,skvr12122600,skvr12122610,skvr12122620,skvr12122630,skvr12122640,skvr12122650,skvr12122660,skvr12122670,skvr12122680,skvr12122690,skvr12122700,skvr12122710,skvr12122720,skvr12122730,skvr12122740,skvr12122750,skvr12122760,skvr12122770,skvr12122780,skvr12122800,skvr12122810,skvr12122820,skvr12122830,skvr12122840,skvr12122850,skvr12122860,skvr12122870,skvr12122880,skvr12122890,skvr12122900,skvr12122910,skvr12122920,skvr12122930,skvr12122940,skvr12122950,skvr12122960,skvr12122970,skvr12122980,skvr12122990,skvr12123000,skvr12123010,skvr12123020,skvr12123030,skvr12123040,skvr12123050,skvr12123060,skvr12123070,skvr12123080,skvr12123090,skvr12123100,skvr12123110,skvr12123120,skvr12123130,skvr12123140,skvr12123150,skvr13076030,skvr13076040,skvr13076050,skvr13076060,skvr13076070,skvr13124810
t060200_0290	Ukonvoiman ottaminen	skvr07200540,skvr07200550,skvr12137140,skvr12137150
t060300_0300	Uutisleipää vainajille	skvr07252140
t060500_2590	Umpitaudin nostatus	skvr01210090,skvr09402490,skvr07230900,skvr11105890,skvr13132820
t060500_2600	Umpitauti	skvr01210070,skvr01210080,skvr02113790,skvr02113800,skvr03145710,skvr09406150,skvr09406160,skvr06142820,skvr06142830,skvr06142840,skvr06142850,skvr07230890,skvr07230900,skvr11108640,skvr12157000,skvr12162250,skvr12176201,skvr12186680,skvr12186690,skvr12186700,skvr13095080,skvr13095090,skvr13095100,skvr13095110
t060500_2610	Unettomuus	skvr01210100
t060800_0270	Uistajan sanat	skvr01224740,skvr09411730,skvr06151320,skvr12166990,skvr12167000,skvr12167010,skvr12167020
t060800_0280	Uistimen päästö pilauksesta	skvr09411800
t060800_0290	Uistimen ruukkiminen	skvr06174760
t061000_2060	Uhrilammasta syötäessä	skvr10145360,skvr10151050
t061100_0820	Umpitauti eläimellä	skvr01216720,skvr02113790,skvr09312560,skvr09406160,skvr06152330,skvr06174783,skvr06174810,skvr10146480,skvr10146490,skvr10146500
